,TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
0,12:51 AM,54.0,45.0,72,29.99,10.0,South,5.8,-,0.0,,Overcast,190,2013-12-04 05:51:00
1,1:51 AM,54.0,45.0,72,29.99,10.0,South,4.6,-,,,Mostly Cloudy,180,2013-12-04 06:51:00
2,2:17 AM,53.6,44.6,72,30.0,10.0,South,4.6,-,0.0,Rain,Light Rain,190,2013-12-04 07:17:00
3,2:51 AM,54.0,46.0,75,30.01,10.0,South,4.6,-,0.0,Rain,Light Rain,180,2013-12-04 07:51:00
4,3:11 AM,53.6,46.4,77,30.01,10.0,South,4.6,-,0.0,Rain,Light Rain,180,2013-12-04 08:11:00
5,3:51 AM,54.0,48.0,80,30.01,10.0,SSW,5.8,-,0.0,,Overcast,200,2013-12-04 08:51:00
6,4:51 AM,54.0,48.0,80,30.01,10.0,SSW,6.9,-,,,Overcast,200,2013-12-04 09:51:00
7,5:51 AM,54.0,48.9,83,30.01,9.0,SSE,3.5,-,,,Mostly Cloudy,160,2013-12-04 10:51:00
8,6:51 AM,54.0,48.9,83,30.03,8.0,Calm,Calm,-,,,Overcast,0,2013-12-04 11:51:00
9,7:51 AM,54.0,48.9,83,30.05,7.0,South,3.5,-,,,Overcast,170,2013-12-04 12:51:00
10,8:51 AM,54.0,50.0,86,30.07,5.0,Calm,Calm,-,,,Overcast,0,2013-12-04 13:51:00
11,9:51 AM,54.0,51.1,90,30.09,3.0,Calm,Calm,-,0.0,,Light Drizzle,0,2013-12-04 14:51:00
12,10:51 AM,57.0,52.0,83,30.08,4.0,Variable,3.5,-,0.0,,Overcast,0,2013-12-04 15:51:00
13,11:51 AM,60.1,54.0,80,30.07,7.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-12-04 16:51:00
14,12:51 PM,63.0,55.0,75,30.04,8.0,SSW,5.8,-,,,Mostly Cloudy,200,2013-12-04 17:51:00
15,1:51 PM,63.0,55.0,75,30.02,10.0,South,3.5,-,,,Mostly Cloudy,180,2013-12-04 18:51:00
16,2:51 PM,63.0,54.0,72,30.01,10.0,Variable,3.5,-,,,Mostly Cloudy,0,2013-12-04 19:51:00
17,3:51 PM,63.0,54.0,72,30.03,10.0,SSE,3.5,-,,,Mostly Cloudy,150,2013-12-04 20:51:00
18,4:51 PM,62.1,55.0,78,30.04,10.0,South,4.6,-,,,Overcast,170,2013-12-04 21:51:00
19,5:51 PM,61.0,54.0,78,30.06,10.0,South,3.5,-,,,Overcast,190,2013-12-04 22:51:00
20,6:51 PM,61.0,54.0,78,30.07,10.0,SSW,3.5,-,,,Overcast,210,2013-12-04 23:51:00
21,7:51 PM,60.1,55.9,86,30.08,7.0,SW,8.1,-,0.0,,Light Drizzle,220,2013-12-05 00:51:00
22,8:16 PM,59.0,55.4,88,30.07,10.0,SE,5.8,-,0.0,,Overcast,140,2013-12-05 01:16:00
23,8:51 PM,57.9,55.0,90,30.06,7.0,South,3.5,-,0.0,,Overcast,170,2013-12-05 01:51:00
24,9:51 PM,55.0,53.1,93,30.08,5.0,Calm,Calm,-,,,Scattered Clouds,0,2013-12-05 02:51:00
25,10:51 PM,55.0,53.1,93,30.1,3.0,Calm,Calm,-,,Fog,Patches of Fog,0,2013-12-05 03:51:00
26,11:03 PM,53.6,53.6,100,30.1,3.0,Calm,Calm,-,,Fog,Patches of Fog,0,2013-12-05 04:03:00
27,11:51 PM,54.0,53.1,97,30.1,4.0,South,4.6,-,,Fog,Patches of Fog,170,2013-12-05 04:51:00
