,ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
0,6744586,comment,6743440.0,6744020.0,2,0,alan_cx,,,And how much of that money could have been used to treat other equally worthy people suffering in equally hard ways?,1384606764.0
1,6744585,comment,6744583.0,6744583.0,1,0,NicoJuicy,,,"Click: <a href=""https://www.openshift.com/blogs/learning-30-technologies-in-30-days-a-developer-challenge"" rel=""nofollow"">https://www.openshift.com/blogs/learning-30-technologies-in-...</a>",1384606735.0
2,6744584,comment,6744405.0,6744405.0,3,0,xixixao,,,"idnes.cz is the web presence of the &quot;largest serious Czech newspaper&quot;, as they like to call themselves. Proud to see this on top of HN. Geocaching is fairly popular in the Czech Republic, though I don&",
3,6744583,story,,,7,6,shekhargulati,Learning 30 Technologies in 30 Days: A Developer Challenge,,"18 days back, I took a challenge to learn 30 technologies in 30 days. So far, I have covered a lot of topics including JavaScript frameworks, sentiment analysis, article extraction, Java frameworks, etc. You can track the full series here https://www.openshift.com/blogs/learning-30-technologies-in-30-days-a-developer-challenge. It has been a tiring but a good learning experience. I would like to hear what others think about it and what other topics should I cover?",1384606641.0
4,6744582,comment,6675810.0,6677130.0,1,0,jheriko,,,"i believe it works with the gcc, clang and msvs compilers across ios, android, windows phone, linux, windows desktop, windows metro, mac os and the game console compilers.<p>sure its not standard, but in practice its never caused me a problem.",1384606640.0
5,6744581,comment,6739315.0,6742773.0,5,0,egeozcan,,,"Hi,<p>Thanks, it&",
6,6744580,comment,6742840.0,6744044.0,2,0,jnbiche,,,"<i>>In the US, businesses must be willing to accept USD for their services/products...</i><p>Not according to the U.S. Treasury:<p><pre><code>  There is, however, no Federal statute mandating that a\n  private business, a person or an organization must accept\n  currency or coins as for payment for goods and/or\n  services. Private businesses are free to develop their own\n  policies on whether or not to accept cash unless there is\n  a State law which says otherwise. For example, a bus line\n  may prohibit payment of fares in pennies or dollar bills. \n\n  In addition, movie theaters, convenience stores and gas \n  stations may refuse to accept large denomination currency\n  (usually notes above $20) as a matter of policy[1].\n\n</code></pre>\n<i>>I&",
7,6744579,comment,6743440.0,6743440.0,3,0,bsandbox,,,"Making endeavors like this scale is an interesting problem.  On the surface, this is inherently unscalable, but it does prove that a novel idea can spark latent compassion to create something truly awesome.  The obvious thought is applying something like Batkid to third world cases, but it would end up helping out a few cases in the millions that exist.  A cynical view is to look at this as an example of first world individualism triumphing over the greater need of larger populations, but I think it&",
8,6744578,comment,6740999.0,6743909.0,1,0,pjmlp,,,"In the history footnotes, unless Google manages to convince other browser vendors to adopt it.",1384606412.0
9,6744577,comment,6731540.0,6731540.0,1,0,petervandijck,,,"<a href=""https://www.meldium.com/"" rel=""nofollow"">https://www.meldium.com/</a> is awesome for that.",1384606391.0
10,6744576,story,,,34,26,raimonds,Show HN: StumbleUpon for books,http://stumblary.com,,1384606368.0
11,6744575,comment,6743358.0,6743900.0,2,0,fnordfnordfnord,,,"If it is good enough for North Korea, it ought to be good enough for us! Right?",1384606361.0
12,6744574,comment,6739231.0,6743161.0,1,0,mattgreenrocks,,,"All networking code should work even if it receives 1 byte at a time. Use a buffer, and have some sort of abstraction responsible for packetizing the input. The output of that module is a fully formed frame ready for interpretation.",1384606261.0
13,6744572,comment,6740999.0,6742163.0,1,0,pjmlp,,,"Have a look at PyD and CeleriD.<p><a href=""http://pyd.dsource.org/"" rel=""nofollow"">http://pyd.dsource.org/</a>",1384606182.0
