,Context,Code,Occupation
133,91,27-1027.00,Set and Exhibit Designers
134,91,33-3051.03,Sheriffs and Deputy Sheriffs
135,91,41-4011.07,Solar Sales Representatives and Assessors
136,91,29-1127.00,Speech-Language Pathologists
137,91,13-1151.00,Training and Development Specialists
138,91,29-1131.00,Veterinarians
139,90,27-4011.00,Audio and Video Equipment Technicians
140,90,17-2141.02,Automotive Engineers
141,90,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
142,90,15-1152.00,Computer Network Support Specialists
143,90,47-5041.00,Continuous Mining Machine Operators
144,90,43-9031.00,Desktop Publishers
145,90,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
146,90,27-3041.00,Editors
147,90,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
148,90,17-3029.03,Electromechanical Engineering Technologists
149,90,17-3012.01,Electronic Drafters
150,90,31-9099.02,Endoscopy Technicians
151,90,43-6011.00,Executive Secretaries and Executive Administrative Assistants
152,90,33-1011.00,First-Line Supervisors of Correctional Officers
153,90,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
154,90,33-1021.02,Forest Fire Fighting and Prevention Supervisors
155,90,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
156,90,33-3021.05,Immigration and Customs Inspectors
157,90,13-1081.00,Logisticians
158,90,17-2199.05,Mechatronics Engineers
159,90,33-2011.01,Municipal Firefighters
160,90,19-4051.02,Nuclear Monitoring Technicians
161,90,29-1151.00,Nurse Anesthetists
162,90,29-1199.05,Orthoptists
163,90,31-9097.00,Phlebotomists
164,90,17-2199.07,Photonics Engineers
165,90,31-2022.00,Physical Therapist Aides
166,90,47-2072.00,Pile-Driver Operators
167,90,43-3061.00,Procurement Clerks
168,90,43-5061.00,"Production, Planning, and Expediting Clerks"
169,90,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
170,90,29-1069.10,Radiologists
171,90,29-1141.00,Registered Nurses
172,90,47-5061.00,"Roof Bolters, Mining"
173,90,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
174,90,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
175,90,11-9199.04,Supply Chain Managers
176,90,13-1199.05,Sustainability Specialists
177,90,53-7121.00,"Tank Car, Truck, and Ship Loaders"
178,90,27-3042.00,Technical Writers
179,90,33-9093.00,Transportation Security Screeners
180,90,11-9199.09,Wind Energy Operations Managers
181,89,11-3011.00,Administrative Services Managers
182,89,29-1071.01,Anesthesiologist Assistants
183,89,17-2031.00,Biomedical Engineers
184,89,15-2041.01,Biostatisticians
185,89,27-2032.00,Choreographers
186,89,15-1121.00,Computer Systems Analysts
187,89,47-2031.01,Construction Carpenters
188,89,29-1141.03,Critical Care Nurses
189,89,15-1141.00,Database Administrators
190,89,47-5011.00,"Derrick Operators, Oil and Gas"
191,89,11-9032.00,"Education Administrators, Elementary and Secondary School"
192,89,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
193,89,17-2072.00,"Electronics Engineers, Except Computer"
194,89,25-2021.00,"Elementary School Teachers, Except Special Education"
195,89,17-2081.00,Environmental Engineers
196,89,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
197,89,17-2112.00,Industrial Engineers
198,89,27-1025.00,Interior Designers
199,89,25-2012.00,"Kindergarten Teachers, Except Special Education"
200,89,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
201,89,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
202,89,29-1069.04,Neurologists
203,89,39-2021.00,Nonfarm Animal Caretakers
204,89,29-1064.00,Obstetricians and Gynecologists
205,89,29-2057.00,Ophthalmic Medical Technicians
206,89,47-2151.00,Pipelayers
207,89,51-5113.00,Print Binding and Finishing Workers
208,89,19-4099.01,Quality Control Analysts
209,89,11-9199.01,Regulatory Affairs Managers
210,89,29-1126.00,Respiratory Therapists
211,89,19-3031.01,School Psychologists
212,89,51-3023.00,Slaughterers and Meat Packers
213,89,15-1199.01,Software Quality Assurance Engineers and Testers
214,89,43-5081.01,"Stock Clerks, Sales Floor"
215,89,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
216,89,19-3051.00,Urban and Regional Planners
