,Context,Code,Occupation
562,79,47-3016.00,Helpers--Roofers
563,79,25-1192.00,"Home Economics Teachers, Postsecondary"
564,79,43-9041.01,Insurance Claims Clerks
565,79,43-9041.02,Insurance Policy Processing Clerks
566,79,25-4021.00,Librarians
567,79,43-5081.02,Marking Clerks
568,79,27-1026.00,Merchandise Displayers and Window Trimmers
569,79,19-1022.00,Microbiologists
570,79,53-7111.00,Mine Shuttle Car Operators
571,79,53-5022.00,Motorboat Operators
572,79,43-4031.02,Municipal Clerks
573,79,25-4013.00,Museum Technicians and Conservators
574,79,51-4062.00,"Patternmakers, Metal and Plastic"
575,79,51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
576,79,49-2021.01,Radio Mechanics
577,79,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
578,79,19-4099.03,Remote Sensing Technicians
579,79,17-3024.01,Robotics Technicians
580,79,47-2181.00,Roofers
581,79,19-4061.00,Social Science Research Assistants
582,79,47-4099.02,Solar Thermal Installers and Technicians
583,79,29-1069.11,Sports Medicine Physicians
584,79,47-2044.00,Tile and Marble Setters
585,79,39-7011.00,Tour Guides and Escorts
586,79,11-9121.02,Water Resource Specialists
587,78,25-2059.01,Adapted Physical Education Specialists
588,78,53-6031.00,Automotive and Watercraft Service Attendants
589,78,35-3022.01,Baristas
590,78,51-8091.00,Chemical Plant and System Operators
591,78,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
592,78,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
593,78,15-1143.00,Computer Network Architects
594,78,13-1041.06,Coroners
595,78,43-5021.00,Couriers and Messengers
596,78,17-3029.04,Electronics Engineering Technologists
597,78,19-2041.02,Environmental Restoration Planners
598,78,25-1053.00,"Environmental Science Teachers, Postsecondary"
599,78,27-1022.00,Fashion Designers
600,78,13-2099.04,"Fraud Examiners, Investigators and Analysts"
601,78,15-1199.04,Geospatial Information Scientists and Technologists
602,78,17-2112.01,Human Factors Engineers and Ergonomists
603,78,13-1075.00,Labor Relations Specialists
604,78,43-4131.00,Loan Interviewers and Clerks
605,78,51-9195.07,Molding and Casting Workers
606,78,43-4141.00,New Accounts Clerks
607,78,33-3041.00,Parking Enforcement Workers
608,78,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
609,78,51-8013.00,Power Plant Operators
610,78,53-5031.00,Ship Engineers
611,78,19-1013.00,Soil and Plant Scientists
612,78,33-3052.00,Transit and Railroad Police
613,78,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
614,77,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
615,77,19-1011.00,Animal Scientists
616,77,27-3021.00,Broadcast News Analysts
617,77,25-1052.00,"Chemistry Teachers, Postsecondary"
618,77,53-7011.00,Conveyor Operators and Tenders
619,77,17-3029.02,Electrical Engineering Technologists
620,77,19-4091.00,"Environmental Science and Protection Technicians, Including Health"
621,77,29-1128.00,Exercise Physiologists
622,77,13-2051.00,Financial Analysts
623,77,33-3031.00,Fish and Game Wardens
624,77,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
625,77,47-4041.00,Hazardous Materials Removal Workers
626,77,49-9021.01,Heating and Air Conditioning Mechanics and Installers
627,77,47-3012.00,Helpers--Carpenters
628,77,25-4031.00,Library Technicians
629,77,29-2035.00,Magnetic Resonance Imaging Technologists
630,77,49-9071.00,"Maintenance and Repair Workers, General"
631,77,17-2121.01,Marine Engineers
632,77,17-3027.00,Mechanical Engineering Technicians
633,77,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
634,77,51-9083.00,Ophthalmic Laboratory Technicians
635,77,29-1041.00,Optometrists
636,77,43-5081.04,"Order Fillers, Wholesale and Retail Sales"
637,77,43-5051.00,Postal Service Clerks
638,77,27-3012.00,Public Address System and Other Announcers
639,77,43-9111.00,Statistical Assistants
640,77,53-4041.00,Subway and Streetcar Operators
641,77,17-3031.01,Surveying Technicians
642,77,53-6041.00,Traffic Technicians
643,77,17-2199.10,Wind Energy Engineers
644,76,49-2091.00,Avionics Technicians
645,76,17-2051.00,Civil Engineers
646,76,51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
647,76,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
648,76,43-9021.00,Data Entry Keyers
649,76,35-9021.00,Dishwashers
650,76,53-3031.00,Driver/Sales Workers
651,76,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
652,76,47-2111.00,Electricians
653,76,47-4031.00,Fence Erectors
654,76,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers
655,76,51-1011.00,First-Line Supervisors of Production and Operating Workers
656,76,19-4092.00,Forensic Science Technicians
657,76,43-4031.03,License Clerks
658,76,29-9099.01,Midwives
659,76,17-3029.12,Nanotechnology Engineering Technicians
660,76,51-9111.00,Packaging and Filling Machine Operators and Tenders
661,76,29-1069.07,Pathologists
662,76,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
663,76,21-1092.00,Probation Officers and Correctional Treatment Specialists
664,76,11-9141.00,"Property, Real Estate, and Community Association Managers"
665,76,49-3043.00,Rail Car Repairers
666,76,53-5011.00,Sailors and Marine Oilers
667,76,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
668,76,49-2098.00,Security and Fire Alarm Systems Installers
669,76,17-2199.11,Solar Energy Systems Engineers
670,76,51-2092.00,Team Assemblers
671,76,43-9022.00,Word Processors and Typists
672,75,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
673,75,19-3091.02,Archeologists
674,75,25-1031.00,"Architecture Teachers, Postsecondary"
675,75,29-1125.01,Art Therapists
676,75,19-2021.00,Atmospheric and Space Scientists
677,75,19-2031.00,Chemists
678,75,51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
679,75,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
680,75,11-9039.02,Fitness and Wellness Coordinators
681,75,19-1032.00,Foresters
682,75,17-2141.01,Fuel Cell Engineers
683,75,13-1131.00,Fundraisers
684,75,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
685,75,11-9199.03,Investment Fund Managers
686,75,37-3011.00,Landscaping and Groundskeeping Workers
687,75,49-9043.00,"Maintenance Workers, Machinery"
688,75,13-1161.00,Market Research Analysts and Marketing Specialists
689,75,51-4061.00,"Model Makers, Metal and Plastic"
690,75,13-1199.06,Online Merchants
691,75,17-2171.00,Petroleum Engineers
692,75,19-2012.00,Physicists
693,75,51-9141.00,Semiconductor Processors
694,75,19-3022.00,Survey Researchers
695,75,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
696,75,27-2023.00,"Umpires, Referees, and Other Sports Officials"
697,75,35-3031.00,Waiters and Waitresses
698,75,51-8031.00,Water and Wastewater Treatment Plant and System Operators
699,75,15-1134.00,Web Developers
700,74,15-2011.00,Actuaries
701,74,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
702,74,45-2011.00,Agricultural Inspectors
703,74,19-4021.00,Biological Technicians
704,74,29-1011.00,Chiropractors
705,74,17-3025.00,Environmental Engineering Technicians
706,74,27-4032.00,Film and Video Editors
707,74,33-2021.01,Fire Inspectors
708,74,51-8092.00,Gas Plant Operators
709,74,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
710,74,17-3029.09,Manufacturing Production Technicians
711,74,51-9082.00,Medical Appliance Technicians
712,74,51-7031.00,"Model Makers, Wood"
713,74,17-3029.01,Non-Destructive Testing Specialists
714,74,29-9012.00,Occupational Health and Safety Technicians
715,74,51-9123.00,"Painting, Coating, and Decorating Workers"
716,74,51-5111.00,Prepress Technicians and Workers
717,74,19-2099.01,Remote Sensing Scientists and Technologists
718,74,19-1031.01,Soil and Water Conservationists
719,74,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
720,74,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
721,73,43-3021.02,"Billing, Cost, and Rate Clerks"
722,73,19-1021.00,Biochemists and Biophysicists
723,73,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
724,73,43-9011.00,Computer Operators
725,73,19-3031.03,Counseling Psychologists
726,73,47-2081.00,Drywall and Ceiling Tile Installers
727,73,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
728,73,45-3011.00,Fishers and Related Fishing Workers
729,73,51-3092.00,Food Batchmakers
730,73,29-9092.00,Genetic Counselors
731,73,25-1064.00,"Geography Teachers, Postsecondary"
732,73,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
733,73,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
734,73,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
735,73,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
736,73,49-9011.00,Mechanical Door Repairers
737,73,43-5041.00,"Meter Readers, Utilities"
738,73,49-3052.00,Motorcycle Mechanics
739,73,43-3051.00,Payroll and Timekeeping Clerks
740,73,15-2041.00,Statisticians
741,73,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
742,72,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
743,72,51-3011.00,Bakers
744,72,53-7061.00,Cleaners of Vehicles and Equipment
745,72,51-2021.00,"Coil Winders, Tapers, and Finishers"
746,72,35-2011.00,"Cooks, Fast Food"
747,72,53-7031.00,Dredge Operators
748,72,13-2099.01,Financial Quantitative Analysts
749,72,51-9198.00,Helpers--Production Workers
750,72,27-3091.00,Interpreters and Translators
751,72,17-3013.00,Mechanical Drafters
752,72,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
753,72,25-1066.00,"Psychology Teachers, Postsecondary"
754,72,51-4121.07,Solderers and Brazers
755,72,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
756,72,25-1194.00,"Vocational Education Teachers, Postsecondary"
757,72,51-4121.06,"Welders, Cutters, and Welder Fitters"
758,71,51-7011.00,Cabinetmakers and Bench Carpenters
759,71,41-9011.00,Demonstrators and Product Promoters
760,71,43-4061.00,"Eligibility Interviewers, Government Programs"
761,71,39-4011.00,Embalmers
762,71,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
763,71,47-3013.00,Helpers--Electricians
764,71,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
765,71,17-3029.05,Industrial Engineering Technologists
766,71,53-7063.00,Machine Feeders and Offbearers
767,71,19-1029.02,Molecular and Cellular Biologists
768,71,25-3021.00,Self-Enrichment Education Teachers
769,71,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
770,71,47-2022.00,Stonemasons
771,71,51-4111.00,Tool and Die Makers
772,70,45-2091.00,Agricultural Equipment Operators
773,70,53-6051.01,Aviation Inspectors
774,70,47-2041.00,Carpet Installers
775,70,13-1041.01,Environmental Compliance Inspectors
776,70,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers
777,70,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
778,70,45-2041.00,"Graders and Sorters, Agricultural Products"
779,70,29-2092.00,Hearing Aid Specialists
780,70,13-2053.00,Insurance Underwriters
781,70,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
782,70,49-9095.00,Manufactured Building and Mobile Home Installers
783,70,43-9071.00,"Office Machine Operators, Except Computer"
784,70,53-6021.00,Parking Lot Attendants
785,70,51-9151.00,Photographic Process Workers and Processing Machine Operators
786,70,47-5051.00,"Rock Splitters, Quarry"
787,70,15-1199.10,Search Marketing Strategists
788,70,47-2082.00,Tapers
789,70,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
790,70,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
791,70,25-3099.02,Tutors
792,70,53-7073.00,Wellhead Pumpers
793,69,51-9191.00,Adhesive Bonding Machine Operators and Tenders
794,69,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors
795,69,47-2061.00,Construction Laborers
796,69,43-4051.00,Customer Service Representatives
797,69,13-1199.01,Energy Auditors
798,69,51-7021.00,Furniture Finishers
799,69,19-4041.02,Geological Sample Test Technicians
800,69,13-1032.00,"Insurance Appraisers, Auto Damage"
801,69,53-3033.00,Light Truck or Delivery Services Drivers
802,69,37-2012.00,Maids and Housekeeping Cleaners
803,69,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
804,69,49-3051.00,Motorboat Mechanics and Service Technicians
805,69,19-4099.02,Precision Agriculture Technicians
806,69,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
807,69,41-9041.00,Telemarketers
808,68,19-3091.01,Anthropologists
809,68,49-3023.01,Automotive Master Mechanics
810,68,51-2022.00,Electrical and Electronic Equipment Assemblers
811,68,47-4021.00,Elevator Installers and Repairers
812,68,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
813,68,51-9022.00,"Grinding and Polishing Workers, Hand"
814,68,51-6011.00,Laundry and Dry-Cleaning Workers
815,68,25-1022.00,"Mathematical Science Teachers, Postsecondary"
816,68,31-9094.00,Medical Transcriptionists
817,68,21-1014.00,Mental Health Counselors
818,68,51-9122.00,"Painters, Transportation Equipment"
819,68,13-2052.00,Personal Financial Advisors
820,68,17-3029.08,Photonics Technicians
821,68,51-4052.00,"Pourers and Casters, Metal"
822,68,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
823,67,13-2011.01,Accountants
824,67,29-1181.00,Audiologists
825,67,53-3022.00,"Bus Drivers, School or Special Client"
826,67,13-2071.00,Credit Counselors
827,67,25-1032.00,"Engineering Teachers, Postsecondary"
828,67,13-1041.03,Equal Opportunity Representatives and Officers
829,67,13-1074.00,Farm Labor Contractors
830,67,41-2012.00,Gaming Change Persons and Booth Cashiers
831,67,41-3021.00,Insurance Sales Agents
832,67,51-9199.01,Recycling and Reclamation Workers
833,67,27-3022.00,Reporters and Correspondents
834,67,43-2021.00,Telephone Operators
835,66,39-2011.00,Animal Trainers
836,66,35-3011.00,Bartenders
837,66,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
838,66,25-1122.00,"Communications Teachers, Postsecondary"
839,66,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
840,66,51-9081.00,Dental Laboratory Technicians
841,66,25-1123.00,"English Language and Literature Teachers, Postsecondary"
842,66,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
843,66,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
844,66,29-2081.00,"Opticians, Dispensing"
845,66,51-7032.00,"Patternmakers, Wood"
846,66,25-1065.00,"Political Science Teachers, Postsecondary"
847,66,41-9022.00,Real Estate Sales Agents
848,66,49-3092.00,Recreational Vehicle Service Technicians
849,66,51-2041.00,Structural Metal Fabricators and Fitters
850,66,53-3041.00,Taxi Drivers and Chauffeurs
851,66,51-2093.00,Timing Device Assemblers and Adjusters
852,65,25-4011.00,Archivists
853,65,19-2011.00,Astronomers
854,65,49-3022.00,Automotive Glass Installers and Repairers
855,65,49-3023.02,Automotive Specialty Technicians
856,65,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
857,65,19-3092.00,Geographers
858,65,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
859,65,49-9031.00,Home Appliance Repairers
860,65,29-1063.00,"Internists, General"
861,65,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
862,65,47-2231.00,Solar Photovoltaic Installers
863,65,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
864,64,29-1199.01,Acupuncturists
865,64,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
866,64,47-4011.00,Construction and Building Inspectors
867,64,13-2041.00,Credit Analysts
868,64,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
869,64,13-1031.02,"Insurance Adjusters, Examiners, and Investigators"
870,64,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
871,64,49-9094.00,Locksmiths and Safe Repairers
872,64,51-4041.00,Machinists
873,64,17-3031.02,Mapping Technicians
874,63,43-3011.00,Bill and Account Collectors
875,63,25-1011.00,"Business Teachers, Postsecondary"
876,63,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
877,63,49-3041.00,Farm Equipment Mechanics and Service Technicians
878,63,45-4023.00,Log Graders and Scalers
879,63,39-9011.01,Nannies
880,63,47-2152.02,Plumbers
881,63,51-9071.07,Precious Metal Workers
882,63,25-1067.00,"Sociology Teachers, Postsecondary"
883,63,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
884,62,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
885,62,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
886,62,51-9031.00,"Cutters and Trimmers, Hand"
887,62,19-3011.01,Environmental Economists
888,62,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
889,62,51-4192.00,"Layout Workers, Metal and Plastic"
890,62,39-5092.00,Manicurists and Pedicurists
891,62,15-2021.00,Mathematicians
892,62,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
893,62,19-3039.01,Neuropsychologists and Clinical Neuropsychologists
894,62,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
895,61,29-2011.02,Cytotechnologists
896,61,49-9062.00,Medical Equipment Repairers
897,61,27-2041.04,Music Composers and Arrangers
898,61,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
899,61,41-3031.01,"Sales Agents, Securities and Commodities"
900,61,51-6031.00,Sewing Machine Operators
901,61,19-3041.00,Sociologists
902,61,41-3041.00,Travel Agents
903,60,45-4021.00,Fallers
904,60,51-4071.00,Foundry Mold and Coremakers
905,60,53-6051.08,Freight and Cargo Inspectors
906,60,51-6042.00,Shoe Machine Operators and Tenders
907,60,53-6061.00,"Transportation Attendants, Except Flight Attendants"
908,59,19-3011.00,Economists
909,59,51-9194.00,Etchers and Engravers
910,59,29-1199.04,Naturopathic Physicians
911,59,47-2142.00,Paperhangers
912,59,25-1054.00,"Physics Teachers, Postsecondary"
913,59,51-5112.00,Printing Press Operators
914,59,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
915,58,49-3011.00,Aircraft Mechanics and Service Technicians
916,58,33-9091.00,Crossing Guards
917,58,25-1063.00,"Economics Teachers, Postsecondary"
918,58,23-1012.00,Judicial Law Clerks
919,58,33-9021.00,Private Detectives and Investigators
920,58,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
921,57,49-3091.00,Bicycle Repairers
922,57,23-2091.00,Court Reporters
923,57,47-5021.00,"Earth Drillers, Except Oil and Gas"
924,57,39-3021.00,Motion Picture Projectionists
925,57,51-6041.00,Shoe and Leather Workers and Repairers
926,56,39-5011.00,Barbers
927,56,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
928,55,53-3021.00,"Bus Drivers, Transit and Intercity"
929,55,19-3031.02,Clinical Psychologists
930,55,49-9064.00,Watch Repairers
931,54,25-1112.00,"Law Teachers, Postsecondary"
932,54,37-2021.00,Pest Control Workers
933,54,27-4021.00,Photographers
934,54,53-7081.00,Refuse and Recyclable Material Collectors
935,53,49-3021.00,Automotive Body and Related Repairers
936,53,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
937,53,19-3094.00,Political Scientists
938,52,39-9031.00,Fitness Trainers and Aerobics Instructors
939,52,45-2092.01,Nursery Workers
940,52,51-6093.00,Upholsterers
941,51,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
942,51,25-1125.00,"History Teachers, Postsecondary"
943,51,51-9071.01,Jewelers
944,50,51-9197.00,Tire Builders
945,49,13-2082.00,Tax Preparers
946,49,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
947,48,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
948,47,53-6011.00,Bridge and Lock Tenders
949,47,43-5052.00,Postal Service Mail Carriers
950,46,49-9093.00,"Fabric Menders, Except Garment"
951,44,45-2021.00,Animal Breeders
952,44,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
953,42,49-9061.00,Camera and Photographic Equipment Repairers
954,42,41-9012.00,Models
955,42,49-9063.00,Musical Instrument Repairers and Tuners
956,40,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
957,40,51-9195.05,"Potters, Manufacturing"
958,37,31-9011.00,Massage Therapists
959,34,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers
960,32,13-2021.02,"Appraisers, Real Estate"
961,32,27-1012.00,Craft Artists
962,31,23-1022.00,"Arbitrators, Mediators, and Conciliators"
963,29,35-2013.00,"Cooks, Private Household"
964,29,27-3043.05,"Poets, Lyricists and Creative Writers"
965,26,51-6051.00,"Sewers, Hand"
966,25,45-3021.00,Hunters and Trappers
