,keyword,dbpedia_score
290,gurudwara,0.0
291,gandhi_cap,0.0
292,spaghetti,0.0
293,nectar,0.0
294,bandhavgarh,0.0
295,chipko_movement,0.0
296,auction,0.0
297,head_of_the_state,0.0
298,tetracyclin,0.0
299,greek_orthodox,0.0
300,thermonuclear_fusion,0.0
301,fusion_reaction,0.0
302,okakura_kakuzo,0.0
303,guru_tegh_bahadur,0.0
304,rohit,0.0
305,ymca,0.0
306,lamella,0.0
307,har_pal,0.0
308,nitric,0.0
309,ashokan_pillar,0.0
310,whisker,0.0
311,deep_valley,0.0
312,sir_muhammad_iqbal,0.0
313,muhammad_iqbal,0.0
314,nonus,0.0
315,self_esteem,0.0
316,bhadu,0.0
317,school_fee,0.0
318,yeah,0.0
319,pepper,0.0
320,green_plant,0.0
321,maya,0.0
322,karnatak,0.0
323,dweller,0.0
324,gang,0.0
325,buddhist_text,0.0
326,agronom,0.0
327,dara,0.0
328,thiruvananthapuram,0.0
329,peru,0.0
330,rebound,0.0
331,n_b,0.0
332,cold_compress,0.0
333,dono,0.0
334,cosmopolitan,0.0
335,meteor_shower,0.0
336,lift_pump,0.0
337,cervix,0.0
338,santa_clara_valley,0.0
339,mole,0.0
340,utopia,0.0
341,london_labour_and_the_london_poor,0.0
342,ngu,0.0
343,partner,0.0
344,amelia_bloomer,0.0
345,methanol,0.0
346,ill_treatment,0.0
347,leucoplast,0.0
348,trick,0.0
349,sub_inspector,0.0
350,tanti,0.0
351,ten_thousand,0.0
352,mulk,0.0
353,haldia,0.0
354,homeland,0.0
355,kankar,0.0
356,oct,0.0
357,ox_bow_lake,0.0
358,oru,0.0
359,matam,0.0
360,baba_farid,0.0
361,croquet,0.0
362,fisherwoman,0.0
363,pure_gold,0.0
364,northern_africa,0.0
365,belli,0.0
366,h__c,0.0
367,upsid,0.0
368,migrant_labour,0.0
369,somnath,0.0
370,sea_wave,0.0
371,union_list,0.0
372,stepp,0.0
373,nambuthiri,0.0
374,harmandar_sahib,0.0
375,aranea,0.0
376,logo,0.0
377,chadwick,0.0
378,pintail_duck,0.0
379,nigeria,0.0
380,array,0.0
381,lava,0.0
382,viramgam,0.0
383,headlight,0.0
384,soak,0.0
385,whoop,0.0
386,set_up,0.0
387,nuclear_weapon,0.0
388,fashion_week,0.0
389,demo,0.0
390,gin_mill,0.0
391,new_earswick,0.0
392,interact,0.0
393,owner,0.0
394,weep,0.0
395,bringa,0.0
396,gangaikondacholapuram,0.0
397,health_check,0.0
398,uphold,0.0
399,st_petersburg,0.0
400,rajanikanta,0.0
401,bardoloi,0.0
402,kalhana,0.0
403,entertain,0.0
404,rishi,0.0
405,nayar,0.0
406,ladyland,0.0
407,common_carp,0.0
408,hoe,0.0
409,smash,0.0
410,houseboat,0.0
411,shoulder_bone,0.0
412,bhagwan,0.0
413,w_w,0.0
414,cut_off,0.0
415,lactic_acid,0.0
416,khabar,0.0
417,eka–boron,0.0
418,indian_fijian,0.0
419,jabalpur,0.0
420,hodson,0.0
421,flaki,0.0
422,chakravartin,0.0
423,labour_cost,0.0
424,thyroxin,0.0
425,virji_vora,0.0
426,long_live_the_revolution,0.0
427,promis,0.0
428,cure,0.0
429,militaris,0.0
430,idol_worship,0.0
431,pyjama,0.0
432,hoa_hao,0.0
433,manka,0.0
434,saurashtra,0.0
435,lauki,0.0
436,night_sky,0.0
437,central_highland,0.0
438,fallopian_tube,0.0
439,british_parliament,0.0
440,leg_kick,0.0
441,ocean_crust,0.0
442,chromatin,0.0
443,rk_laxman,0.0
444,urchin,0.0
445,owl,0.0
446,kitab,0.0
447,madhuca_indica,0.0
448,corn_law,0.0
449,west_java,0.0
450,field_event,0.0
451,vithal,0.0
452,heroor,0.0
453,barb_wire,0.0
454,super,0.0
455,zilla_parishad,0.0
456,hugh,0.0
457,gandhi_jayanti,0.0
458,wavi,0.0
459,north_east_india,0.0
460,mirabeau,0.0
461,orthodox_jew,0.0
462,handkerchief,0.0
463,sekar,0.0
464,alpha_1,0.0
465,rajasthani,0.0
466,mewar,0.0
467,girangaon,0.0
468,diamond_sutra,0.0
469,imperialist,0.0
470,jane_fonda,0.0
471,placer_deposit,0.0
472,cossa,0.0
473,nd,0.0
474,nkvd,0.0
475,barbet,0.0
476,thulasi,0.0
477,prinsep,0.0
478,low_hill,0.0
479,carpel,0.0
480,peepal_tree,0.0
481,harichandra,0.0
482,biological,0.0
483,aluminium_wire,0.0
484,mar,0.0
485,berth,0.0
486,tibeto_burman,0.0
487,pistol,0.0
488,pehl,0.0
489,paik,0.0
490,no_1,0.0
491,venezuela,0.0
492,long_tail,0.0
493,water_day,0.0
494,ascar,0.0
495,white_hall,0.0
496,flamingo,0.0
497,fossil_fuel,0.0
498,televisor,0.0
499,diphtheria,0.0
500,wind_vane,0.0
501,convict,0.0
502,kurnool,0.0
503,vivian,0.0
504,purs,0.0
505,ulva,0.0
506,targeted,0.0
507,burr,0.0
508,still,0.0
509,kaokoland,0.0
510,keshav,0.0
511,idealis,0.0
512,aur_hum,0.0
513,flemish_region,0.0
514,earth_day,0.0
515,seacoast,0.0
516,upthrust,0.0
517,murshid_quli_khan,0.0
518,kirt,0.0
519,karna,0.0
520,dire,0.0
521,poverty,0.0
522,aparigraha,0.0
523,shiwalik,0.0
524,leopard,0.0
525,social_order,0.0
526,coal_mine,0.0
527,polyatom,0.0
528,great_wall,0.0
529,prick,0.0
530,prussia,0.0
531,spinach,0.0
532,soap_water,0.0
533,bundelkhandi,0.0
534,sound_board,0.0
535,militia,0.0
536,yatra,0.0
537,fiji,0.0
538,right_circular_cone,0.0
539,nammalvar,0.0
540,cauveri,0.0
541,lobbyist,0.0
542,prayaga,0.0
543,sciatica,0.0
544,pollen_grain,0.0
545,consist,0.0
546,sahyadri,0.0
547,cruikshank,0.0
548,dhyana,0.0
549,nepenthes,0.0
550,pranab,0.0
551,ent_surgeon,0.0
552,surgeon,0.0
553,primogenitur,0.0
554,flick,0.0
555,alon,0.0
556,open_championship,0.0
557,west_irian,0.0
558,reign_of_terror,0.0
559,golla,0.0
560,thatch_roof,0.0
561,safe_place,0.0
562,st_jacob,0.0
563,blood_vessel,0.0
564,oil_cake,0.0
565,shisham,0.0
566,water_pipe,0.0
567,bluegreen_alga,0.0
568,meen,0.0
569,canker,0.0
570,saturday,0.0
571,western_art,0.0
572,pill,0.0
573,newcom,0.0
574,voters’_list,0.0
575,chahta,0.0
576,soft_iron,0.0
577,doctors,0.0
578,absente,0.0
579,sirajuddaulah,0.0
580,hajo,0.0
581,rasa_lila,0.0
582,cold_weather,0.0
583,bewar,0.0
584,world_food_day,0.0
585,swarajya,0.0
586,punjabi,0.0
587,british_queen,0.0
588,scout,0.0
589,sabarmati_river,0.0
590,obes,0.0
591,martin_luther_king_jr,0.0
592,robben_island,0.0
593,french_indo_china,0.0
594,half_chord,0.0
595,legal_framework_order,0.0
596,nawab_of_bengal,0.0
597,bio_mass,0.0
598,nuclear_power_reactor,0.0
599,station_master,0.0
600,refuge,0.0
601,hunter_gather,0.0
602,gdp,0.0
603,grammar,0.0
604,class_mark,0.0
605,macedonia,0.0
606,season_5,0.0
607,black_ant,0.0
608,silver_fox,0.0
609,s_land,0.0
610,jamun,0.0
611,vaishya,0.0
612,2d,0.0
613,tarnish,0.0
614,chauri_chaura,0.0
615,fatwa,0.0
616,vandemataram,0.0
617,beaker,0.0
618,prithviraj_chauhan,0.0
619,monday,0.0
620,alluri_sitarama_raju,0.0
621,sir_john_simon,0.0
622,shear,0.0
623,jagirdari,0.0
624,compact,0.0
625,boycott,0.0
626,argument,0.0
627,greenish_blue,0.0
628,peda,0.0
629,sound_wave,0.0
630,hand_rule,0.0
631,commit,0.0
632,bandag,0.0
633,sprinkler,0.0
634,wolf,0.0
635,rishra,0.0
636,lenin_shipyard,0.0
637,geo,0.0
638,sultan_suleyman,0.0
639,aerial_survey,0.0
640,chandala,0.0
641,nkrumah,0.0
642,ahar,0.0
643,malayalam,0.0
644,forest_floor,0.0
645,samachar,0.0
646,chandrika,0.0
647,gana_sangha,0.0
648,wed,0.0
649,poach,0.0
650,pheasant,0.0
651,contus,0.0
652,mami,0.0
653,mamandur,0.0
654,glycerin,0.0
655,nankana_sahib,0.0
656,kharagpur,0.0
657,bardoli,0.0
658,humayun,0.0
659,decibel,0.0
660,boz,0.0
661,triangular,0.0
662,papua_new_guinea,0.0
663,tidal_stretch,0.0
664,river_neva,0.0
665,placenta,0.0
666,eras,0.0
667,stomach_ulcer,0.0
668,drum_beat,0.0
669,circuit_breaker,0.0
670,addict,0.0
671,udagamandalam,0.0
672,night_time,0.0
673,tang,0.0
674,back_bay,0.0
675,marijuana,0.0
676,abdomen,0.0
677,homestead,0.0
678,carlo,0.0
679,churn,0.0
680,west_virginia,0.0
681,glandular_epithelium,0.0
682,racism,0.0
683,black_buck,0.0
684,kirgiz,0.0
685,kais,0.0
686,dutta,0.0
687,ulothrix,0.0
688,pir,0.0
689,power_ship,0.0
690,begum_of_bhopal,0.0
691,tread,0.0
692,bind,0.0
693,run_water,0.0
694,earth_s_crust,0.0
695,abul_kalam_azad,0.0
696,tuesday,0.0
697,from_the_sea,0.0
698,harding,0.0
699,curtain,0.0
700,outreach,0.0
701,moran,0.0
702,brood_pouch,0.0
703,chickenpox,0.0
704,scooter,0.0
