,segWords,Freq
429,travelling,37
430,committee,36
431,halt,36
432,jumps,36
433,Keqiang,36
434,rate,36
435,Stocks,36
436,urged,36
437,bats,35
438,biggest,35
439,combat,35
440,If,35
441,living,35
442,month,35
443,podcast,35
444,reconsider,35
445,risks,35
446,scientists,35
447,sky,35
448,travellers,35
449,trial,35
450,anger,34
451,bid,34
452,Disney,34
453,Disneyland,34
454,facing,34
455,From,34
456,HIV,34
457,identifies,34
458,Listen,34
459,meet,34
460,meeting,34
461,negative,34
462,screenings,34
463,sell,34
464,stepped,34
465,stopped,34
466,stories,34
467,trains,34
468,Britain,33
469,demand,33
470,drug,33
471,expanded,33
472,hard,33
473,Hospital,33
474,mayor,33
475,plans,33
476,potential,33
477,ready,33
478,rein,33
479,Saudi,33
480,suspends,33
481,ve,33
482,affect,32
483,cbc,32
484,December,32
485,game,32
486,grave,32
487,industry,32
488,infects,32
489,investigation,32
490,outbreaks,32
491,preparedness,32
492,threatens,32
493,weekend,32
494,appears,31
495,cough,31
496,declaring,31
497,family,31
498,personnel,31
499,schools,31
500,Scientists,31
501,start,31
502,trapped,31
503,universities,31
504,Amid,30
505,Apple,30
506,arriving,30
507,Central,30
508,Check,30
509,conference,30
510,fell,30
511,globally,30
512,increasing,30
513,president,30
514,prices,30
515,questions,30
516,studies,30
517,team,30
518,Tell,30
519,trading,30
520,wearing,30
521,advice,29
522,Australian,29
523,calls,29
524,chinese,29
525,closing,29
526,contracted,29
527,dedicated,29
528,hits,29
529,makeshift,29
530,months,29
531,Our,29
532,People,29
533,planning,29
534,Should,29
535,shuts,29
536,worst,29
537,AbbVie,28
538,app,28
539,cope,28
540,cover,28
541,dangerous,28
542,explains,28
543,Feb,28
544,fly,28
545,food,28
546,foreign,28
547,half,28
548,hands,28
549,isolate,28
550,Japanese,28
551,monitoring,28
552,NDTVNewsBeeps,28
553,offers,28
554,office,28
555,oil,28
556,prepared,28
557,rapidly,28
558,robot,28
559,role,28
560,screened,28
561,shutting,28
562,social,28
563,stands,28
564,Starbucks,28
565,stores,28
566,system,28
567,victims,28
568,wsj,28
569,border,27
570,children,27
571,die,27
572,ground,27
573,He,27
574,life,27
575,locks,27
576,reviews,27
577,Scotland,27
578,statement,27
579,streets,27
580,To,27
581,UN,27
582,consulate,26
583,contagion,26
584,contagious,26
585,dies,26
586,edition,26
587,European,26
588,French,26
589,lunar,26
590,reach,26
591,regions,26
592,school,26
593,Seattle,26
594,send,26
595,sparked,26
596,tLnnh,26
597,WhatPresidentXiSays,26
598,air,25
599,borders,25
600,capital,25
601,celebrations,25
602,County,25
603,Cross,25
604,fear,25
605,flying,25
606,ft,25
607,FT,25
608,Huanggang,25
609,International,25
610,leadership,25
611,link,25
612,mutating,25
613,Number,25
614,reached,25
615,scrambles,25
616,seals,25
617,traveller,25
618,vaccine,25
619,Vietnam,25
620,ward,25
621,ABC,24
622,bit,24
623,body,24
624,construction,24
625,continue,24
626,cousin,24
627,decoded,24
628,families,24
629,grows,24
630,issue,24
631,leader,24
632,Leo,24
633,local,24
634,No,24
635,nose,24
636,ongoing,24
637,plane,24
638,Poon,24
639,precautions,24
640,Scientist,24
641,short,24
642,suspended,24
643,type,24
644,virulent,24
645,Virus,24
646,wapo,24
647,watching,24
648,Will,24
649,Arabia,23
650,authority,23
651,based,23
652,briefing,23
653,emerged,23
654,Get,23
655,handling,23
656,increase,23
657,indian,23
658,indoors,23
659,KayBurley,23
660,Kerala,23
661,ministry,23
662,secretary,23
663,sparking,23
664,stations,23
665,That,23
666,tourist,23
667,University,23
668,announcement,22
669,Are,22
670,attractions,22
671,begun,22
672,beijing,22
673,business,22
674,canceled,22
675,communication,22
676,condition,22
677,conditions,22
678,Cook,22
679,critical,22
680,deserted,22
681,Everything,22
682,growth,22
683,Headlines,22
684,Heathrow,22
685,Indians,22
686,iPhone,22
687,Jones,22
688,kerala,22
689,lessons,22
690,limit,22
691,materials,22
692,Nanshan,22
693,nation,22
694,NEW,22
695,nonessential,22
696,Olympic,22
697,passes,22
698,protective,22
699,quarantined,22
700,scale,22
701,sends,22
702,sharp,22
703,spokesman,22
704,strict,22
705,struggles,22
706,York,22
707,Zhong,22
708,arrives,21
709,checked,21
710,checks,21
711,chinas,21
712,confident,21
713,decision,21
714,director,21
715,Ebola,21
716,expands,21
717,expects,21
718,Find,21
719,governments,21
720,JustIn,21
721,LATEST,21
722,Malaysia,21
723,ODMd,21
724,One,21
725,online,21
726,pressure,21
727,Red,21
728,remain,21
729,restricting,21
730,shortage,21
731,suspend,21
732,town,21
733,additional,20
734,blog,20
735,calling,20
736,climb,20
737,Deadly,20
738,declared,20
739,diseases,20
740,east,20
741,evacuated,20
742,footage,20
743,hair,20
744,halted,20
745,head,20
746,heading,20
747,initiates,20
748,li,20
749,lives,20
750,lower,20
751,Medical,20
752,nationwide,20
753,Organisation,20
754,period,20
755,precautionary,20
756,prompted,20
757,race,20
758,rapid,20
759,remains,20
760,restaurants,20
761,seafood,20
762,senior,20
763,shares,20
764,spoken,20
765,struggling,20
766,talks,20
767,visiting,20
768,worry,20
769,ANI,19
770,Breakfast,19
771,BreakingNews,19
772,closes,19
773,considered,19
774,difficult,19
775,direct,19
776,dish,19
777,drop,19
778,embassy,19
779,Emergency,19
780,experience,19
781,fall,19
782,fINE,19
783,Forbidden,19
784,inside,19
785,ll,19
786,locked,19
787,monitor,19
788,NHC,19
789,popular,19
790,preparing,19
791,press,19
792,provide,19
793,reporting,19
794,restrict,19
795,sites,19
796,Six,19
797,Some,19
798,support,19
799,tells,19
800,topped,19
801,train,19
802,Video,19
803,worries,19
804,Analysis,18
805,Avoid,18
806,buses,18
807,businesses,18
808,citing,18
809,coming,18
810,company,18
811,confidence,18
812,consumer,18
813,correspondent,18
814,Cover,18
815,current,18
816,dealing,18
817,decide,18
818,devil,18
819,ea,18
820,fallout,18
821,france,18
822,hoping,18
823,hours,18
824,imiG,18
825,increased,18
826,incubation,18
827,Intelligence,18
828,Johnson,18
829,LISTEN,18
830,mouth,18
831,Nepal,18
832,NOW,18
833,packed,18
834,partial,18
835,peak,18
836,PM,18
837,population,18
838,premier,18
839,read,18
840,renowned,18
841,Report,18
842,resolute,18
843,sars,18
844,scramble,18
845,shared,18
846,sneeze,18
847,speaking,18
848,subscribe,18
849,traveler,18
850,trips,18
851,Wash,18
852,Wear,18
853,wxVI,18
854,abroad,17
855,allocates,17
856,Angeles,17
857,Arizona,17
858,australia,17
859,av,17
860,bringing,17
861,claimed,17
862,donated,17
863,flown,17
864,For,17
865,Four,17
866,heart,17
867,join,17
868,key,17
869,Lam,17
870,Los,17
871,national,17
872,originally,17
873,pathogen,17
874,preventive,17
875,researchers,17
876,slow,17
877,stepping,17
878,Students,17
879,tracked,17
880,USD,17
881,Videos,17
882,activated,16
883,Among,16
884,analysis,16
885,annual,16
886,box,16
887,changed,16
888,chartering,16
889,Chief,16
890,community,16
891,create,16
892,decided,16
893,determine,16
894,earnings,16
895,entering,16
896,FDA,16
897,February,16
898,federal,16
899,form,16
900,front,16
901,G,16
902,Hancock,16
903,Investors,16
904,kills,16
905,luxury,16
906,Maps,16
907,Matt,16
908,officer,16
909,Paris,16
910,Plague,16
911,plan,16
912,porcupines,16
913,presumptive,16
914,prompts,16
915,rail,16
916,raised,16
917,ramp,16
918,rodents,16
919,scotland,16
920,separate,16
921,services,16
922,speaks,16
923,takes,16
924,telegraph,16
925,Today,16
926,undergoing,16
927,UPDATE,16
