,Variable Name,Type,Links Wave 2,Reference Period other than Survey Period
140,`e_2020_gdp`,Categorical,:ref:`w2e-ExpEcGrowth_before`,202002.0
141,`e_2021_gdp`,Categorical,:ref:`w2e-ExpEcGrowth_before`,202002.0
142,`e_2022_gdp`,Categorical,:ref:`w2e-ExpEcGrowth_before`,202002.0
143,`e_2020_gdp`,Categorical,:ref:`w2e-ExpEcGrowth_today`,
144,`e_2021_gdp`,Categorical,:ref:`w2e-ExpEcGrowth_today`,
145,`e_2022_gdp`,Categorical,:ref:`w2e-ExpEcGrowth_today`,
146,`e_2020_infl`,Categorical,:ref:`w2e-ExpInfl_before`,202002.0
147,`e_2021_infl`,Categorical,:ref:`w2e-ExpInfl_before`,202002.0
148,`e_2022_infl`,Categorical,:ref:`w2e-ExpInfl_before`,202002.0
149,`e_2020_infl`,Categorical,:ref:`w2e-ExpInfl_today`,
150,`e_2021_infl`,Categorical,:ref:`w2e-ExpInfl_today`,
151,`e_2022_infl`,Categorical,:ref:`w2e-ExpInfl_today`,
152,`bought_or_sold_stocks`,Categorical,:ref:`w2e-StockTrading`,
153,`amount_stocks_bought`,Categorical,:ref:`w2e-Stock3`,
154,`amount_stocks_sold`,Categorical,:ref:`w2e-Stock4`,
155,`amount_stocks_bought`,Categorical,:ref:`w2e-Stock5`,
156,`amount_stocks_sold`,Categorical,:ref:`w2e-Stock6`,
