,sophomore,5,great\wide variety\small class\make sure\safe\successful\doctoral program\helpful
109,freshman,4,great opportunity\free\dark paint party\play black jack\virgin drink\key logging\silent\dark dodgeball\last\not least\huge rave paint\awesome dj\wise\not huge\great\big class\small\still great class size\offer free tutors
110,sophomore,4,nice\only thing\extremely strict attendance policy\total grade
111,junior,4,great school\good schedule
112,senior,4,fantastic school\interested\biomedical field\outstanding nursing program\liberal art\put more money\as many internship opportunity\stem field
113,sophomore,4,surprisingly nice university\southern atmosphere\very welcoming\so nice campus\always fun activity\very academic school\too large population\entire college career
114,sophomore,4,decent university\first choice\undergraduate school\fifth\large campus\busy stretch\several\little tiff\petty complaint\petty little complaint\whole parking fiasco
115,junior,4,great school\social life\north- business\attainable student
116,sophomore,4,first year\amazing\new stage\timid guy\really great\make sure\also good\devoted\other service\personal\professional issue\always fun\multiple club\sure\super enjoyable\great mix\educational student
117,sophomore,4,very vibrant\numerous activity\academic adviser\very thorough\helpful
118,senior,4,most helpful school\financial aid process\super painless\wonderful\very knowledgeable\how much passion
119,sophomore,2,online class\okay\many\full benefit\online class\difficult
120,senior,2,full time\take online class\online class\mediocre\Most professor\really good\few\very passionate
121,senior,2,okay\as advanced\well diverse
122,alum,2,good school\mechanical aerospace\former student\small engineering\other engineering\okay\major
123,freshman,2,not many opportunity\most part\terrible
124,other,2,generally mixed opinion\sexual assault issue\major action\able\feel unsafe campus\previous semester\several\certainly appreciable
125,other,2,
126,freshman,2,not many party
127,freshman,2,much help\financial aid office
128,freshman,2,full tuition scholarship\pleasant experience\financial aid\same requirement
129,sophomore,2,several chain restaurant\very similar\willing\more
130,sophomore,2,hard\hard
131,freshman,2,only option\free\bad condition
132,freshman,2,much transportation\most people\spacious car\very necessary\'s moody weather
133,sophomore,2,
134,sophomore,2,
135,other,2,pretty bland\same thing
136,other,2,not much focus\liberal art
137,other,2,few week\almost impossible
138,junior,2,
139,junior,2,difficult\very limited parking
140,junior,2,expensive\slow
141,junior,2,not safe
142,junior,2,only time\first week\boring
143,junior,2,well
144,sophomore,2,mental thing
145,sophomore,2,not sure
146,senior,2,enjoy tasty\free snack
147,senior,2,small
148,senior,2,
149,sophomore,2,most student\get easy\most people\good idea\least
150,senior,2,same place\get old\awhile\too bad
151,junior,2,very limited\reasonable cost
152,freshman,2,large amount\excellent academic
153,freshman,2,worried
154,junior,2,more healthy option\nice
155,senior,2,extremely hard
156,senior,2,nice facility\little\little expensive fact
157,junior,2,very nerdy\third\worth\awesome\pretty varied\deep belle\deep southern belle\nerdi\stereotypical sorority girl\most
158,junior,2,ok\athletic game\too big\academic school\attend more\well grade
159,senior,1,associate dean\prog fundamental\late\1st day\own deadline\mid term\mid - term\specific time\low\much happy
160,sophomore,1,mandatory\not enough room
161,other,1,alone
162,freshman,1,not many people
163,junior,1,bad aid\bad financial aid\very helpful
164,sophomore,1,very unfortunate commuter\relatively large parking lot\tiny parking\tiny little parking lot\ridiculous
165,junior,1,new scholarship\build new building\new unnecessary building\very frustrating
166,sophomore,1,
167,junior,1,see little\other student\huge thing\crazy thing
168,senior,1,little\little dead
169,junior,1,previous class
170,sophomore,1,very scarce\rare\also difficult\so small\see many fender bender\few\decal\much
171,junior,1,excellent\difficult
172,senior,1,make more money\last year\not eligible
173,senior,1,not much\other\greek event\other\terribly interesting
174,senior,1,opposite\dark\opposite sex guest\pretty childish\ridiculous
175,senior,1,
176,other,1,only transportation
177,other,1,general\pretty expensive\decal sticker\decal\non space\lucky day\easy student\different building
