,8.02,12.07,Unnamed: 2,Advertise your product or brand here
120,496.62,501.5,Snyder,who's not in jail where she belongs.
121,503.5,505.26,Snyder,Welcome back.
122,508.02,508.13,Buffy,So let me get this straight.
123,508.51,512.39,Buffy,I'm really back in school because
124,508.51,512.39,Buffy,the school board overruled you.
125,512.89,518.44,Buffy,Wow. That's like having your whole ability
126,512.89,518.44,Buffy,to do this job called into question.
127,520.4,522.52,Joyce,I think what my daughter's trying to say is:
128,533.53,535.95,Secretary,"It's the mayor on line one,"
129,537.79,540.12,Willow,It's so great that you're a schoolgirl again.
130,540.29,542.63,Buffy,Giles say what he wanted?
131,540.29,542.63,Buffy,You think he's mad?
132,543.42,545.96,Willow,I don't think so.
133,543.42,545.96,Willow,I think he just needed to see you.
134,546.55,550.59,Willow,"Have you noticed, though, when he is mad"
135,546.55,550.59,Willow,but he's too English to say anything
136,551.55,554.39,Willow,he makes that weird cluckcluck sound
137,551.55,554.39,Willow,with his tongue?
138,554.68,556.51,Buffy,"Hi, Giles."
139,558.43,561.31,Willow,"Oh, hi. Been there long?"
140,561.56,566.23,Giles,"Buffy, good timing. I could use your help."
141,561.56,566.23,Giles,I trust you remember the demon Acathla?
142,567.19,569.69,Buffy,"Giles, contain yourself."
143,567.19,569.69,Buffy,"Yes, I'm back in school,"
144,569.69,572.32,Buffy,but you know it embarrasses me
145,569.69,572.32,Buffy,when you gush so.
146,572.82,574.87,Buffy,Let's just skip that and get to work.
147,581.58,584.21,Buffy,Of course it's wonderful to have you back.
148,581.58,584.21,Buffy,That goes without saying.
149,585.96,589.42,Buffy,"But you enjoy making me say it, don't you?"
150,590.34,596.02,Buffy,"OK, Acathla, huh? What are you doin'?"
151,590.34,596.02,Buffy,Making him demon pizza?
152,594.72,596.93,Giles,We need to make sure
153,594.72,596.93,Giles,"he remains dormant,"
154,597.22,601.52,Giles,and that the dimensional vortex is sealed
155,597.22,601.52,Giles,"tight, so I'm working on a binding spell."
156,602.23,604.48,Willow,"Ooh, a spell! Can I help?"
157,605.36,607.08,Giles,Possibly with the research.
158,607.08,608.86,Willow,It's a very sensitive and...
159,609.11,611.13,Willow,Who's more sensitive than me?
160,611.13,612.53,Giles,and difficult spell.
161,613.49,616.2,Giles,It involves creating
162,613.49,616.2,Giles,a protective circle around...
163,616.62,621.58,Giles,"I won't bore you with the details, but there's"
164,616.62,621.58,Giles,"a litany one has to recite in Aramaic,"
165,622.25,625.5,Giles,"and it's very specific,"
166,622.25,625.5,Giles,so I need details about your experience
167,628.02,628.29,Giles,of defeating Acathla and Angel.
168,630.38,631.32,Buffy,Fire away.
169,631.32,634.59,Giles,"I've put the time at about... 6:11,"
170,638.02,639.18,Giles,about half an hour after Xander rescued me.
171,639.76,641.64,Buffy,Less. More like ten minutes.
172,641.64,643.81,Giles,"Oh, was the vortex already open?"
173,645.4,646.48,Buffy,Barely.
174,646.65,649.15,Giles,I see. And Angel?
175,650.4,652.99,Buffy,"Big fight, Angel got the"
176,650.4,652.99,Buffy,"pointy end of the sword,"
177,653.53,657.32,Buffy,Acathla sucked him into Hell
178,653.53,657.32,Buffy,instead of the world. That's about it.
179,657.91,660.16,Giles,"Yes, well, that should be very helpful."
180,661.66,664.62,Buffy,"Oh, no. I have to go take"
181,661.66,664.62,Buffy,an English makeup exam.
182,665.42,669.13,Buffy,They give you credit
183,665.42,669.13,Buffy,"just for speaking it, right?"
184,673.55,675.84,Willow,"Mm, sage. I love that smell."
185,676.68,681.35,Willow,"And Marnox root. You know, a smidge of this"
186,676.68,681.35,Willow,mixed with a virgin's saliva...
187,683.56,685.94,Giles,It does something I know nothing about.
188,686.06,688.03,Giles,These forces are not to be played around
189,688.03,690.15,Willow,"with, Willow. What have you been conjuring?"
190,691.07,695.61,Willow,"Nothing... much. Well, you know,"
191,691.07,695.61,Willow,"I tried the spell to cure Angel,"
192,696.7,698.57,Willow,and I guess that was a bust.
193,699.2,701.87,Willow,"But since then, you know, small stuff."
194,702.33,707.33,"Angel, and I guess that was a bust. But since then, you know, small stuff","Floating feather, fire out of ice "
195,702.33,707.33,"Angel, and I guess that was a bust. But since then, you know, small stuff",which next time I won't do on the bedspread.
196,708.58,710.54,"Angel, and I guess that was a bust. But since then, you know, small stuff",Are you mad at me?
197,711.09,712.8,Giles,"No, of course not."
198,712.96,717.13,Giles,"If I were, I would be making a strange"
199,712.96,717.13,Giles,clucking sound with my tongue.
200,740.91,743.33,Buffy,Don't let me interrupt.
201,744.66,747.33,Willow,Are you... Is she all glowy?
