,8.02,12.07,Unnamed: 2,Advertise your product or brand here
494,1530.11,1533.45,Joyce,to see you share  like the slaying.
495,1533.87,1537.12,Joyce,"I mean, two of you fighting"
496,1533.87,1537.12,Joyce,"is safer than one, right?"
497,1538.25,1539.29,Buffy,I guess.
498,1539.5,1545.21,Joyce,"Unless... I mean, you heard her, she loves"
499,1539.5,1545.21,Joyce,the slaying. Couldn't she take over for you?
500,1549.02,1548.76,Buffy,"Mom, no one can take over for me."
501,1548.88,1551.3,Joyce,But you go to college next year.
502,1548.88,1551.3,Joyce,It would be...
503,1554.02,1555.89,Buffy,"Mom, the only way you get a new slayer"
504,1554.02,1555.89,Buffy,is when the old slayer dies.
505,1557.64,1559.68,Joyce,Then that means you.
506,1560.14,1562.03,Joyce,When did you die? You never told me.
507,1562.03,1563.61,Buffy,It was just for a few minutes.
508,1563.9,1566.32,Joyce,"Oh, I hate this. I hate your life."
509,1567.03,1568.28,Buffy,"Mom, I..."
510,1568.28,1572.16,Joyce,"Look, I know you didn't choose this."
511,1568.28,1572.16,Joyce,I know it chose you.
512,1572.66,1576.08,Buffy,I have tried to march
513,1572.66,1576.08,Buffy,"in the slayer pride parade, but..."
514,1578.29,1580.37,Joyce,I don't want you to die.
515,1582.67,1586.17,Buffy,I'm not gonna die. I know how to do my job.
516,1587.05,1590.59,Buffy,"Besides, like you said, I've got help now."
517,1595.8,1598.06,Buffy,I've got all the help I can stand.
518,1605.44,1607.69,Faith,Didn't we do this street already?
519,1607.94,1612.74,Buffy,Funny thing about vamps  they'll hit a street
520,1607.94,1612.74,Buffy,even after you've been there. No manners.
521,1614.2,1616.32,Faith,You've been doing this the longest.
522,1616.7,1617.27,Buffy,I have.
523,1617.27,1619.7,Faith,Yeah. Maybe a little too long.
524,1620.45,1623.16,Buffy,Excuse me? What's that supposed to mean?
525,1623.58,1624.25,Faith,Nothing.
526,1624.25,1625.75,Buffy,You got a problem?
527,1626.08,1630.26,Faith,"I'm five by five, B, livin' entirely large,"
528,1626.08,1630.26,Faith,actually wondering about your problem.
529,1631.09,1633.88,Buffy,"Well, I may not sleep in the nude"
530,1631.09,1633.88,Buffy,and rassle alligators...
531,1634.22,1637.85,Faith,"Maybe it's time you started, cos something"
532,1634.22,1637.85,Faith,in your bottle needs uncorking.
533,1638.6,1640.85,Buffy,"What is it, the Angel thing?"
534,1642.35,1644.19,Buffy,What do you know about Angel?
535,1644.85,1649.23,Faith,"Just what I've heard  big love, big loss,"
536,1644.85,1649.23,Faith,"you oughta deal and move on, but you're not."
537,1649.86,1653.49,Buffy,I got an idea. How about from now on
538,1649.86,1653.49,Buffy,we don't hear from you on Angel
539,1654.24,1657.37,Buffy,"or anything else in my life,"
540,1654.24,1657.37,Buffy,"which, by the way, is my life."
541,1658.62,1660.49,Faith,"Why are you gettin' so strung out, B?"
542,1660.49,1662.29,Buffy,"Why are your lips still moving, F?"
543,1663.0,1664.43,Faith,Did I just hear a threat?
544,1664.43,1665.46,Buffy,Would you like to?
545,1665.5,1667.08,Faith,Wow. Think you can take me?
546,1667.38,1670.59,Buffy,Yeah. I just hope they can't.
547,1698.45,1700.95,Faith,My dead mother hits harder than that!
548,1707.21,1709.33,Buffy,Stake him already and give me a hand!
549,1712.84,1715.67,Faith,"This is for me, you undead bastard!"
550,1716.59,1720.47,Vampire,"For Kakistos we live,"
551,1716.59,1720.47,Vampire,for Kakistos you'll die!
552,1720.97,1722.35,Buffy,Faith!
553,1737.82,1738.91,Buffy,Faith...
554,1742.2,1744.87,Faith,You... can't... touch... me!
555,1751.58,1752.74,Buffy,What is wrong with you?
556,1752.74,1753.59,Faith,What do you mean?
557,1754.09,1756.46,Buffy,"You ""living large"" on that vampire."
558,1756.59,1760.22,Faith,"Gee, if doing violence to vampires upsets"
559,1756.59,1760.22,Faith,"you, you're in the wrong line of work."
560,1760.97,1762.94,Buffy,Or maybe you like it a little too much.
561,1762.94,1764.31,Faith,I was getting the job done.
562,1764.72,1769.73,Buffy,"The job is to slay demons, not beat them to"
563,1764.72,1769.73,Buffy,a bloody pulp while their friends corner me!
564,1770.35,1771.98,Faith,I thought you could handle yourself.
565,1776.61,1780.07,Giles,"You must realise, Buffy, that you and Faith"
566,1776.61,1780.07,Giles,have very different temperaments.
567,1780.99,1782.7,Buffy,And mine's the sane one.
568,1782.87,1786.66,Buffy,The girl's not playing with a full deck.
569,1782.87,1786.66,Buffy,She has almost no deck. She has a three.
570,1787.25,1789.58,Buffy,You said yourself that she killed one.
571,1789.75,1793.04,Giles,She's just a plucky fighter
572,1789.75,1793.04,Giles,who got a little carried away.
573,1793.5,1795.84,Giles,Which is natural.
574,1793.5,1795.84,Giles,She's focused on the slaying.
575,1796.63,1800.13,Buffy,"She doesn't have a life here, as you do."
576,1796.63,1800.13,Buffy,She doesn't need a life. She has mine.
577,1800.38,1801.98,Giles,I think you're being a little...
578,1801.98,1803.64,Buffy,"No, I'm being a lot. I know that."
579,1804.14,1807.31,Buffy,She nearly got us both killed.
580,1804.14,1807.31,Buffy,The girl needs help.
581,1807.89,1810.6,Giles,"All right, I'll see if I can reach"
582,1807.89,1810.6,Giles,her watcher at the retreat.
583,1811.02,1815.98,Giles,They're... eight hours ahead now.
584,1811.02,1815.98,Giles,They're probably sitting down to a nightcap.
585,1817.9,1821.32,Giles,I wonder if they still kayak.
586,1817.9,1821.32,Giles,I used to love a good kayak.
587,1821.65,1823.78,Giles,"You see, they don't even consider..."
588,1825.41,1829.12,Giles,"Sorry, I digress."
589,1825.41,1829.12,Giles,"The vampire that attacked you,"
590,1829.79,1833.38,Giles,can you furnish me with some details
591,1829.79,1833.38,Giles,that might help me trace their lineage?
592,1833.54,1837.42,Giles,"Ancient or modern dress,"
593,1833.54,1837.42,Giles,"amulets, cultish tattoos?"
594,1838.55,1841.84,Buffy,"No tats, crappy dressers, and..."
595,1842.93,1846.72,Buffy,"Oh, the one that nearly bit me"
596,1842.93,1846.72,Buffy,mentioned something about kissing toast.
597,1847.31,1848.88,Buffy,He lived for kissing toast.
598,1848.88,1849.93,Giles,You mean Kakistos?
599,1850.43,1853.94,Buffy,"Maybe it was taquitos,"
600,1850.43,1853.94,Buffy,"Maybe he lived for taquitos, What?"
601,1854.19,1856.02,Giles,Kakistos.
602,1858.57,1859.82,Buffy,Is that bad?
603,1861.07,1863.95,Giles,Kakistos is Greek.
604,1861.07,1863.95,Giles,It means the worst of the worst.
605,1864.82,1869.41,Giles,It's also the name of a vampire
606,1864.82,1869.41,Giles,so old that his hands and feet are cloven.
607,1873.58,1876.29,Buffy,"Now, this guy shows up"
608,1873.58,1876.29,Buffy,"two days ago, right?"
609,1876.71,1880.17,Buffy,Right around the time my bestest
610,1876.71,1880.17,Buffy,new little sister makes the scene.
611,1881.09,1882.97,Giles,You think he and Faith are connected?
612,1882.97,1886.51,Buffy,"Giles, there are two things I don't believe in:"
613,1882.97,1886.51,Buffy,coincidence and leprechauns.
614,1887.35,1892.1,Giles,"Buffy, it's entirely possible that they both"
615,1887.35,1892.1,Giles,arrived here by chance simultaneously.
616,1892.98,1896.1,Buffy,"OK, but I was right"
617,1892.98,1896.1,Buffy,"about the leprechauns, right?"
618,1896.1,1897.4,Giles,As far as I know.
619,1897.98,1902.15,Buffy,"Good. OK, you phone England,"
620,1897.98,1902.15,Buffy,"I'll talk to Faith, see if khaki trousers rings..."
621,1902.99,1903.91,Giles,Kakistos.
622,1903.91,1907.49,Buffy,Kakistos rings a bell. Or an alarm.
623,1907.99,1909.95,Giles,Right.
624,1907.99,1909.95,Giles,Right.
625,1918.34,1919.46,Scott,Hi.
626,1920.21,1920.7,Buffy,Scott.
627,1920.7,1921.67,Scott,How are you?
628,1922.71,1923.56,Buffy,OK. I gotta...
629,1923.56,1925.09,Scott,"Be somewhere else, right?"
630,1925.84,1930.1,Scott,Think of this as my lastditch effort.
631,1925.84,1930.1,Scott,I realise one more will qualify as stalking.
632,1930.22,1933.1,Buffy,I've given a lot of thought  some might say
633,1933.1,1936.19,Scott,too much  to how I might be part of your life.
634,1937.1,1941.15,Buffy,"It begins with conversation, we all know this."
635,1937.1,1941.15,Buffy,"Maybe over a cup of coffee,"
636,1942.11,1944.56,Buffy,or maybe at the Buster Keaton festival
637,1944.56,1947.2,Scott,playing on State Street all this weekend.
638,1949.62,1955.5,Buffy,"You know, come to think of it, I don't think"
639,1949.62,1955.5,Buffy,I've given a fair chance to Buster Keaton.
640,1957.75,1963.38,Buffy,I like what I've seen of him so far.
641,1957.75,1963.38,Buffy,I think it might be time to see a little more.
642,1965.88,1967.72,Scott,Keaton is key.
643,1968.39,1973.39,Scott,"Oh, um, I got you a little present. A guy in"
644,1968.39,1973.39,Scott,"the retro shop said it represents friendship,"
645,1974.02,1977.69,Scott,and that's something
646,1974.02,1977.69,Scott,I'd very much like to have with you.
647,1980.9,1982.23,Scott,You like?
648,1985.9,1988.74,Buffy,I can't. I can't do this.
649,1990.91,1993.49,Scott,OK. I get the message.
650,1997.79,1999.37,Giles,Are you all right?
651,2000.29,2006.02,Buffy,"Giles, hi. Uh, yeah... I'm fine."
652,2005.3,2007.18,Buffy,Did you reach the retreat?
653,2007.18,2007.97,Giles,"Yes, I did."
654,2009.05,2011.14,Buffy,What did her watcher say?
655,2011.55,2013.39,Giles,Her watcher's dead.
656,2018.44,2020.27,Manager,The room's $18 a day.
657,2020.94,2021.91,Manager,That's every day.
658,2021.91,2024.19,Faith,"I'll get it to you by tomorrow, I swear."
659,2024.69,2026.11,Manager,It's not like I own the place.
660,2026.57,2028.24,Faith,But I bet you will some day.
661,2028.24,2030.32,Manager,Not if I listen to broads like you.
662,2031.57,2033.15,Manager,Roommates are extra.
663,2033.15,2034.58,Buffy,I'm just visiting.
664,2039.08,2041.33,Faith,"So, what brings you to the poor side of town?"
665,2044.71,2048.05,Buffy,Cloven guy. Goes by the name Kakistos.
666,2050.34,2052.42,Faith,What do you know about Kakistos?
667,2052.42,2053.39,Buffy,That he's here.
668,2056.6,2059.93,Buffy,"We're not happy to see old friends, are we?"
669,2056.6,2059.93,Buffy,What did he do to you?
670,2060.35,2062.56,Faith,"It's what I did to him, all right?"
671,2064.11,2066.07,Buffy,And what was that?
672,2067.23,2069.49,Buffy,"Faith, you came here"
673,2067.23,2069.49,Buffy,for a reason. I can help.
674,2069.74,2072.66,Faith,You can mind your own business.
675,2069.74,2072.66,Faith,I'm the one who can handle this.
676,2073.49,2075.99,Buffy,Yeah. You're a real badass
677,2073.49,2075.99,Buffy,when it comes to packing.
678,2075.99,2079.0,Buffy,What was that you said about my problem?
679,2075.99,2079.0,Buffy,Gotta deal and move on?
680,2079.75,2084.29,Faith,"Well, you have the movingon part here. What"
681,2079.75,2084.29,Faith,about dealing? You gonna dump that on me?
682,2084.75,2088.55,Faith,"You don't know me, or what I've been"
683,2084.75,2088.55,Faith,"through. I'll take care of this, all right?"
684,2089.13,2091.63,Buffy,Like you took care of your watcher?
685,2098.52,2100.27,Buffy,"He killed her, didn't he?"
686,2101.64,2103.85,Faith,They don't have a word for what he did to her.
687,2108.53,2109.19,Faith,"Oh, what now?"
688,2109.19,2110.9,Buffy,"Faith, you run, he runs after you."
689,2111.65,2114.03,Faith,That's where the head start comes in handy.
690,2118.54,2120.5,Kakistos,Faith...
691,2131.09,2133.51,Buffy,I just bought us a little more... time.
692,2133.59,2134.16,Faith,"Oh, no!"
693,2134.16,2136.18,Buffy,Scream later! Escape now!
694,2143.6,2145.27,Buffy,Let's go!
695,2163.0,2165.54,Buffy,We're OK. What happened?
696,2168.63,2170.55,Buffy,"Faith, what happened?"
697,2171.76,2174.92,Faith,"I was there when he killed my watcher,"
698,2175.51,2179.22,Faith,"and I saw what he did to her,"
699,2175.51,2179.22,Faith,what he was gonna do to me.
700,2179.89,2183.14,Faith,"I tried to stop him, but I..."
701,2179.89,2183.14,Faith,I couldn't. And I ran.
702,2183.64,2186.94,Buffy,"Faith, first rule of slaying  don't die."
703,2188.02,2194.36,Buffy,"You did the right thing, OK? You didn't die."
704,2188.02,2194.36,Buffy,"Now you do the math  one of him, two of us."
705,2196.15,2197.2,Buffy,Yes.
706,2197.41,2199.24,Faith,No.
707,2200.53,2201.95,Faith,This is his place.
708,2201.95,2203.29,Buffy,He drove us here.
709,2224.93,2226.31,Buffy,Faith!
710,2226.81,2228.19,Buffy,Don't die!
711,2241.83,2243.24,Buffy,Don't!
712,2260.59,2264.1,Trick,"If we don't do something,"
713,2260.59,2264.1,Trick,the Master could get killed.
714,2265.6,2267.52,Trick,"Well, our prayers are with him."
715,2269.98,2272.86,Trick,There's a reason these vengeance
716,2269.98,2272.86,Trick,crusades are out of style.
717,2273.73,2276.9,Kakistos,"See, the modern vampire,"
718,2273.73,2276.9,Kakistos,we see the big picture.
719,2284.37,2286.62,Kakistos,"I guess you need a bigger stake, Slayer!"
720,2309.39,2311.14,Buffy,You hungry?
721,2311.27,2313.1,Faith,Starved.
722,2319.44,2322.16,Giles,The Council has approved our request.
723,2322.57,2324.57,Giles,"Faith is to stay here indefinitely,"
724,2325.08,2327.91,Giles,and I'm to look after you both
725,2325.08,2327.91,Giles,until a new watcher is assigned.
726,2328.2,2331.04,Buffy,Good. She really came through in the end.
727,2332.58,2336.5,Buffy,"She had a lot to deal with,"
728,2332.58,2336.5,Buffy,but she did it. She got it behind her.
729,2337.59,2339.71,Giles,I'm glad to hear it.
730,2343.84,2346.1,Buffy,Angel was cured.
731,2348.85,2350.64,Giles,I'm sorry?
732,2352.6,2355.77,Buffy,"When I killed him, Angel was cured."
733,2357.61,2360.44,Buffy,"Your spell worked at the last minute, Will."
734,2361.36,2366.07,Buffy,"I was about to take him out and, um,"
735,2361.36,2366.07,Buffy,"something went through him,"
736,2366.99,2368.7,Buffy,and he was Angel again.
737,2371.37,2374.21,Buffy,He didn't remember anything that he'd done.
738,2375.13,2377.17,Buffy,He just held me.
739,2379.5,2382.97,Buffy,But it was... it was too late and I had to.
740,2385.76,2390.77,Buffy,"So I told him that I loved him,"
741,2385.76,2390.77,Buffy,"then I kissed him,"
742,2391.39,2393.23,Buffy,then I killed him.
743,2401.4,2405.16,Buffy,I don't know if that helps
744,2401.4,2405.16,Buffy,"with your spell or not, Giles."
745,2407.03,2408.95,Giles,"Yes, I believe it will."
746,2409.53,2411.12,Willow,I'm sorry.
747,2412.04,2413.87,Willow,It's OK.
748,2414.54,2419.25,Buffy,"I've been holding onto that for so long,"
749,2414.54,2419.25,Buffy,it felt good to get it out.
750,2423.3,2424.88,Willow,I'll see you guys later.
751,2435.81,2439.27,Willow,"Giles, I know you don't like me"
752,2435.81,2439.27,Willow,"playing with mystical forces,"
753,2440.19,2443.15,Willow,but I can really help
754,2440.19,2443.15,Willow,with this binding spell.
755,2443.94,2445.86,Giles,There is no spell.
756,2459.58,2461.25,,Scott...
757,2462.09,2463.3,,Hello.
758,2463.34,2464.8,,Hey.
759,2465.84,2469.3,,I was waiting for you to get out of class.
760,2470.22,2471.89,,Oh. Why?
761,2474.6,2478.14,,"There was someone a while ago,"
762,2474.6,2478.14,,"and the ring sort of confused me,"
763,2478.98,2482.27,,but I liked what you said about friendship
764,2478.98,2482.27,,"a lot. And Buster Keaton, big fun,"
765,2482.73,2486.49,,"and I'm capable of big fun, though there's"
766,2482.73,2486.49,,no way you could know that about me.
767,2487.11,2491.45,,"Wow, if I knew I was gonna go on this long"
768,2487.11,2491.45,,I probably would've brought some water.
769,2492.12,2495.7,,"What I'm trying to say is,"
770,2492.12,2495.7,,"if you'd still like to go to the film festival,"
771,2496.5,2501.54,,"and I would understand if you didn't,"
772,2496.5,2501.54,,I'd pretty much love to go with you.
773,2505.88,2509.59,,"I don't know, Buffy."
774,2505.88,2509.59,,I'm really gonna have to think about this.
775,2511.51,2514.01,,"OK, I thought about it and I'm in."
776,2511.51,2514.01,,When do you wanna go?
777,2514.01,2519.1,,"Well, I have one thing that I have to do"
778,2514.01,2519.1,,"tonight, and then I'm good."
779,2520.27,2522.06,,Good.
780,2565.02,2566.69,,Goodbye.
781,2567.31,2573.38,,Support us and become VIP member 
782,2567.31,2573.38,,to remove all ads from www.OpenSubtitles.org
783,2567.31,2573.38,,end
