,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,dist
0,420871236982638336,1.2259909448230442,0.0162437576613451,56.00584539903836,0.0150877056959159,0.2587617039162574,0.0256725899134134,-2.031781945001157,0.0326977709330625,0.2671219577154763,0.0267925147141091,14.09956,,,Gaia DR2 420871236982638336,1.2260065910752,56.0058442489289,0.0,0.0,0.0,0.0,8.823229524763553e-06
1,420871065183959936,1.210557120414368,0.0158460686446282,55.97634225350529,0.0159970054581393,2.04915187711764,0.0267430616622791,14.52915335307114,0.0316892171768812,-13.466454079813774,0.0280371195052632,14.045153,,,Gaia DR2 420871065183959936,1.2104453201665,55.9764002340209,0.0,0.0,0.0,0.0,8.529366224095179e-05
2,420871065183955840,1.207618459976065,0.0198320442991556,55.98293763729863,0.0196902878537552,0.3483020389725415,0.0326847559745426,-4.737627431923207,0.0381934002028159,-2.4185865567277043,0.0346556948018337,14.88419,,,Gaia DR2 420871065183955840,1.207654921674,55.982948050652,0.0,0.0,0.0,0.0,2.290242918141441e-05
3,420868247685405824,1.2395260696848367,0.0158078464108054,55.995753485837874,0.0145688668230802,0.065550540733823,0.024223308871735,-2.5815539498060778,0.029923631845144,0.2553558936360358,0.0261000446882961,14.090218,,,Gaia DR2 420868247685405824,1.239545944405,55.9957523863873,0.0,0.0,0.0,0.0,1.1169267906470824e-05
4,420868282045147392,1.257259714364879,0.0242076000590161,55.994023280748245,0.0210179538119789,-0.0210057010113788,0.0367349400106023,-1.3987870446621464,0.0450468104171165,-0.4132533110146965,0.0377716350204528,14.39295,,,Gaia DR2 420868282045147392,1.2572704827855,55.9940250600329,0.0,0.0,0.0,0.0,6.27989078588527e-06
5,420868213325668480,1.2598091950870751,0.0901259646097478,55.998032851495374,0.0790589066552653,0.7683294706809557,0.1419551359840047,-0.706890497721246,0.1767275938085298,-0.3250652424334045,0.1416626302475392,16.13925,,,Gaia DR2 420868213325668480,1.2598146375766,55.9980342510817,0.0,0.0,0.0,0.0,3.349936910756717e-06
6,420862234731211264,1.2449949646381353,0.018566965416932,55.95853760864813,0.0175450753949325,0.2184328426885656,0.0284839803701388,-2.982243235147746,0.0357611894733614,-4.830350937407229,0.0313295019557943,14.536202,,,Gaia DR2 420862234731211264,1.2450179020951,55.9585584059903,0.0,0.0,0.0,0.0,2.444178030203152e-05
7,420868105945182336,1.2494273910184772,0.0206644750741035,55.95988734423592,0.0190820928052455,0.4095257196599672,0.0305175987041438,-3.833808808472088,0.0387232816985966,-1.5458134261536525,0.0347453798606244,14.755087,,,Gaia DR2 420868105945182336,1.2494568791762,55.959893999818,0.0,0.0,0.0,0.0,1.7797954903504382e-05
8,420862131652010752,1.2723068771267303,0.0228222531684708,55.93786591296204,0.0208601558664593,0.68384067907586,0.0337150011617436,-0.3748746875464371,0.0415984892299783,0.5183825371777034,0.0370716857112584,10.6947775,-48.79026888739002,0.1877316489054916,Gaia DR2 420862131652010752,1.2723097588762,55.9378636810372,0.6838,-0.665,0.16,-48.79,1.985280887825274e-06
9,420868007167253376,1.3013076296454136,0.0214434249981474,55.976011223128985,0.0194263283485415,1.5272040330450274,0.0322227784054665,14.50481845272766,0.0396352770758377,0.6338006913265896,0.0346529858462841,11.881409,-26.82584156693332,4.10019225373024,Gaia DR2 420868007167253376,1.3011960178548,55.9760084942163,1.5272,15.245,0.836,-26.83,3.303723029469684e-06
10,420868007167254656,1.3095533310122889,0.0145381637282874,55.97550748239112,0.0136548156434771,0.2976070704731557,0.0226647579779415,-0.4807495605251965,0.0273748000416648,-0.92550030578613,0.0248190873987757,13.711132,,,Gaia DR2 420868007167254656,1.3095570302426,55.975511467184,0.0,0.0,0.0,0.0,4.490326884979986e-06
11,420867972807519616,1.2989986559475175,0.0310703355398916,55.96796734483089,0.0265244008625754,0.7901863802910869,0.0458031399398193,-10.632206830936967,0.0575236183161873,-1.191244158248797,0.0479136297729684,15.8196945,,,Gaia DR2 420867972807519616,1.2990804517969,55.9679724737717,0.0,0.0,0.0,0.0,4.60639887090622e-05
12,420867972807524096,1.3076813945806425,0.0269420037118312,55.9614051867252,0.0228186272688363,0.2790627878117094,0.0400535679900584,-3.988559420810826,0.0505133645521344,-0.5868010425252845,0.0416424630458718,15.550452,,,Gaia DR2 420867972807524096,1.3077120742194,55.9614077132259,0.0,0.0,0.0,0.0,1.7357820225053764e-05
13,420867869728312704,1.3156152417017213,0.0271370780515174,55.95493880985468,0.0240874847101865,2.06506057718224,0.0411065329191599,33.09847733321152,0.049985446705365,3.796903967922897,0.0426909035674332,15.62995,,,Gaia DR2 420867869728312704,1.3153606938557,55.9549224618114,0.0,0.0,0.0,0.0,0.00014344193909696744
14,420867801008840960,1.3219329002051186,0.0208461401765872,55.94904415743515,0.0176830075416165,1.3503145050807903,0.0319301636131645,-6.778941919836803,0.0392614041153968,-9.225237840419318,0.0320608113487566,14.818141,,,Gaia DR2 420867801008840960,1.321985026617,55.9490838771982,0.0,0.0,0.0,0.0,4.9290444333466855e-05
15,420867801008838272,1.3248663835497054,0.0274782924908757,55.953300795725085,0.0244972627975374,0.3625404050249159,0.0416351759653089,-5.500149726710595,0.0506910678463749,-3.2779217035409967,0.0435771037256626,15.644194,,,Gaia DR2 420867801008838272,1.3249086813605,55.9533149089918,0.0,0.0,0.0,0.0,2.756780271018676e-05
