,﻿musketeer,n. a foot soldier armed with a musket
66,pitchblende,n a mineral consisting of uranium oxide and trace amounts of radium and thorium and polonium and lead and helium; uraninite in massive form is called pitchblende which is the chief uranium ore
67,radium,n. an intensely radioactive metallic element that occurs in minute amounts in uranium ores
68,hamstring,"n. one of the tendons at the back of the knee
v. make ineffective or powerless
v. cripple by cutting the hamstring"
69,constellation,n. a configuration of stars as seen from the earth
70,modulate,"v. change the key of, in music
v. adjust the pitch, tone, or volume of
v. vary the frequency, amplitude, phase, or other characteristic of (electromagnetic waves)"
71,Puritan,"n. a member of a group of English Protestants who in the 16th and 17th centuries thought that the Protestant Reformation under Elizabeth was incomplete and advocated the simplification and regulation of forms of worship
n. someone who adheres to strict religious principles; someone opposed to sensual pleasures"
72,amour,n a usually secretive or illicit sexual relationship
73,stature,"n. high level of respect gained by impressive development or achievement
n. (of a standing person) the distance from head to foot"
74,Victorian,"n. a person who lived during the reign of Victoria
a. of or relating to Queen Victoria of Great Britain or to the age in which she ruled
s. typical of the moral standards or conduct of the age of Queen Victoria"
75,catalytic,a. relating to or causing or involving catalysis
76,precipitate,"n. a precipitated solid substance in suspension or after settling or filtering
v. bring about abruptly
v. separate as a fine suspension of solid particles
v. fall from clouds"
77,obsolescent,s. becoming obsolete
78,mores,n. (sociology) the conventions that embody the fundamental values of a group
79,Bohemian,"n. a native or inhabitant of Bohemia in the Czech Republic
n. a nonconformist writer or artist who lives an unconventional life
a. of or relating to Bohemia or its language or people
s. unconventional in especially appearance and behavior"
80,perversion,"n. a curve that reverses the direction of something
n. an aberrant sexual practice; 
n. the action of perverting something (turning it to a wrong use)"
81,reveler,n. a celebrant who shares in a noisy party
82,stalemate,"n. drawing position in chess: any of a player's possible moves would place his king in check
v. subject to a stalemate"
83,insolence,n. an offensive disrespectful impudent act
84,belligerent,s. engaged in war
85,magnolia,"n. dried bark of various magnolias; used in folk medicine
n. any shrub or tree of the genus Magnolia; valued for their longevity and exquisite fragrant blooms"
86,fracas,n noisy quarrel
87,corps,"n. an army unit usually consisting of two or more divisions and their support
n. a body of people associated together"
88,merchant,n. a businessperson engaged in retail trade
89,marine,"n. a member of the United States Marine Corps
n. a soldier who serves both on shipboard and on land
a. of or relating to the sea
a. of or relating to military personnel who serve both on land and at sea (specifically the U.S. Marine Corps)"
90,sergeant,n. any of several noncommissioned officer ranks in the Army or Air Force or Marines ranking above a corporal
91,carnival,"n. a festival marked by merrymaking and processions
n. a traveling show; having sideshows and rides and games of skill etc."
92,contingent,"n. a gathering of persons representative of some larger group
n. a temporary military unit
s. possible but not certain to occur
s. determined by conditions or circumstances that follow"
93,obliquely,r. at an oblique angle
94,expatriation,"n the act of expelling a person from their native land
n migration from a place (especially migration from your native country in order to settle in another)"
95,beget,v. make children
96,clone,"n. a group of genetically identical cells or organisms derived from a single cell or individual by some kind of asexual reproduction
v. make multiple identical copies of"
97,preempt,"v. acquire for oneself before others can do so
v. take the place of or have precedence over
v. gain possession of by prior right or opportunity, especially so as to obtain the right to buy (land)"
98,bilk,"v. cheat somebody out of what is due, especially money
v. evade payment to"
99,proximity,"n. the property of being close together
n. the region close around a person or thing
n. a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit"
100,pristine,"s. completely free from dirt or contamination
s. immaculately clean and unused"
101,vivacity,n. characterized by high spirits and animation
102,precinct,n. a district of a city or town marked out for administrative purposes
103,subculture,n. a social group within a national culture that has distinctive patterns of behavior and beliefs
104,boutique,n. a shop that sells women's clothes and jewelry
105,ancillary,s furnishing added support
106,malleable,"s easily influenced
s capable of being shaped or bent or drawn out"
107,turnstile,n. a gate consisting of a post that acts as a pivot for rotating arms; set in a passageway for controlling the persons entering
108,succumb,v. be fatally overwhelmed
109,tawdriness,n. Quality or state of being tawdry.
110,cabana,n. a small tent used as a dressing room beside the sea or a swimming pool
111,antiseptically,adv. By means of antiseptics.
112,enclave,n. an enclosed territory that is culturally distinct from the foreign territory that surrounds it
113,mongrel,"n derogatory term for a variation that is not genuine; something irregular or inferior or of dubious origin
n an inferior dog or one of mixed breed"
114,precariously,r. in a precarious manner
115,hybrid,"n. a composite of mixed origin
n. (genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species
s. produced by crossbreeding"
116,admixture,"n. the state of impairing the quality or reducing the value of something
n. an additional ingredient that is added by mixing with the base"
117,juxtaposition,"n. the act of positioning close together (or side by side)
n. a side-by-side position"
118,exasperate,"v exasperate or irritate
v make furious
v make worse"
119,exhilarate,v. fill with sublime emotion
120,procession,n. the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
121,decorous,a. characterized by propriety and dignity and good taste in manners and conduct
122,mauve,"n. a moderate purple
s. of a pale to moderate greyish violet color"
