,title, publication, authors, date, year, month, url, content
0,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Eugene Kyle,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
1,AT&T's Randall Stephenson Attended Unscheduled Oval Office Meeting with Trump | Breitbart,www.breitbart.com,Budda,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/randallstephensonwhitehouse/,
2,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,guest,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
3,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Deep State Watch,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
4,AT&T's Randall Stephenson Attended Unscheduled Oval Office Meeting with Trump | Breitbart,www.breitbart.com,Certified✓ᴰᵉᵖˡᵒʳᵃᵇˡᵉ,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/randallstephensonwhitehouse/,
5,AT&T's Randall Stephenson Attended Unscheduled Oval Office Meeting with Trump | Breitbart,www.breitbart.com,Budda,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/randallstephensonwhitehouse/,
6,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Sher Clem,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
7,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,TheLineIsDrawn,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
8,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Chris Petri,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
9,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Cpriestess,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
10,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Dr. Terry Sumpter,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
11,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Elgee888,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
12,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,The Deplorable Chamber Pot,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
13,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Shirley Shotwell,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
14,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Parenthetical Comments,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
15,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,spfoam1,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
