,senior,5,high standard\high academic standard\friendly environment\financial aid\timely manner\pleasant experience
118,junior,4,safe\boring
119,senior,2,easy\so small\awful\very superficial\christian school\too much\extra formation\extra spiritual formation hour\separate page\next semester tuition\incredibly expensive\such facility\such meager facility\get rid football\many
120,sophomore,2,great\such beauty\very beautiful\entire\immensely depressing\personal experience\totally fine\unaffected\very depressed sunlight\nice weather\bad\make sure\get excited\large group\vacant\nice
121,junior,2,great professor\current renovation\attractive\future student
122,senior,2,major time\major multiple time\very difficult\positive note\few teacher
123,freshman,2,greek life\low key
124,alum,2,
125,alum,2,limited elective\limited coursework\very rigid policy\rigid academic policy\most course\rigid requirement list\very few opportunity\explore other area\only college\offer spanish coursework\terrible
126,alum,2,very underground\hard
127,alum,2,great u\lousy
128,alum,2,Most professor\more interested\religious belief\lack basic amenity\only campus\swimmng pool\many dorm\dumb school\most
129,alum,2,awful dorm\terrible professor\too small\very noisy\impossible\real librarian\care less work\Most student\more interested\future husband\very prejudiced\liberal idea
130,freshman,2,Most student\other student\purchase off campus
131,junior,2,fairly strict rule\big party scene\big thing
132,senior,2,very strict
133,senior,2,
134,senior,2,poor zone
135,junior,2,huge dept\athletic scholarship\get hard\same time\not worth\so much money
136,freshman,2,own weightroom
137,freshman,2,old barn
138,freshman,2,more strict
139,junior,1,other thing
140,sophomore,1,greek life\extracurricular activity
141,alum,1,not sure\intentional\very homogeneous campus
142,alum,1,greek life\many problem
143,freshman,1,greek life
144,senior,1,
145,junior,1,hours(horrible\weird\international student\shocked
146,junior,1,
147,freshman,1,greek life\aloud due\how strict school
148,freshman,1,
149,sophomore,1,bad
150,sophomore,1,non existent\non - existent\christian college
151,sophomore,1,greek life\least
152,sophomore,1,large amount\great result\athletic building\outdoor track\indoor track
153,senior,1,high elevation\extremely cold
154,alum,1,poor\totally inadequate\limited collection\very noisy\poor condition\mostly old\dated 1950\underclass dorm\real antique\many building\interesting piece\much inside\pretty lame\fine art facility\very limited\minimal studio space
155,senior,1,first year men\first year male\pretty awful\late 1950\dirty\most bare bone dorm\smell funny\ancient\tacky
156,senior,1,pretty awful\very noisy\limited collection\very difficult\useless\entire library staff\short\curricular support\major\pretty limited\only spot\only bright spot\large library\large public library\really good
157,senior,1,same jock\same dumb jock\Most\real box\think many\able
158,senior,1,pretty lame\meaningful discussion\library material\pretty minimal
