,Unnamed: 0,atl hip hop,australian pop,big room,boy band,brostep,canadian hip hop,canadian pop,country rap,dance pop,dfw rap,edm,electropop,escape room,latin,panamanian pop,pop,pop house,r&b en espanol,reggaeton,reggaeton flow,trap music,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5051561780534168,0.5353863131005974,0.628599303319096,0.5,0.2920296742201791,0.8349855640127543,0.3459856683894138,0.1305439734843836,0.0,0.116512183082353
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3340736085159816,0.9180628854236228,0.7108912436767914,0.75,0.2920296742201791,0.7058941815092362,0.9651513399331976,0.2386901420909944,0.2760910063138806,0.8403719735128661
2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999992,0.9057828253177588,0.0,0.75,0.7227062322935722,0.7903879440859,0.314296532109549,0.3216736159093698,1.0000000000000002,0.4574669328803917
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1422055789466538,0.7005246425886402,0.2819432955272845,0.25,0.2920296742201791,0.6460490618620832,0.3896616167508844,0.3216736159093698,0.5719859672796723,0.5131083933953029
4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8979664515590162,0.7005246425886402,0.0963833160335454,0.75,0.4898961024049784,0.1640762836049942,0.2430455213995839,0.7451716228076518,0.19895473177119,0.9470744551721584
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2882451452105217,0.7451276424076156,0.7379735186326362,0.625,0.3652123889719707,0.9116650495769786,0.5221221804333833,0.2610879469687671,0.0583448947488635,0.4014971956171091
6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9999999999999992,0.6851982561085808,0.6008088606214037,0.5,0.2090619551221675,0.2480901699216375,0.0,0.0540730843033054,0.7954513685091431,0.8403719735128661
7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4219279472848614,0.7451276424076156,0.0,0.625,0.2920296742201791,0.4182238810868095,0.4142730524034408,0.3750506617683766,0.2760910063138806,0.7325032405928162
8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743062239834396,0.6538136478623291,0.9488072563285956,0.5,0.4898961024049784,0.734711835587928,0.121436795800919,0.1613612252796282,0.3114263358094146,0.5684272865646491
9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7313945021456671,0.2920758665624294,0.4589906047011589,0.0,0.4306765580733933,0.6562421086211231,0.3648002995866166,0.6193740603246572,0.965129850842266,1.0
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9999999999999992,0.6538136478623291,0.1903045612662195,0.625,0.9746358687061648,0.2637553990028008,0.6979907832805274,0.8806452970211369,0.8352117117353419,0.8938666347658515
11,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1923993591932395,0.7878047212504726,0.7916349583951408,0.75,0.6826061944859854,0.4559387555055559,0.3079077958033664,0.5602298045113945,0.19895473177119,0.5131083933953029
