,keyword,dbpedia_score
275,shirt,0.6
276,analog,0.0
277,dog_run,1.0
278,koyna,0.5
279,ghata,0.375
280,victoria_fall,0.4
281,trade_barrier,1.0
282,tsarina_alexandra,0.5357142857
283,meander,0.8333333333
284,brave,0.2608695652
285,babrala,0.0
286,mughal_rule,0.625
287,annual_growth,1.0
288,aam_papad,0.5
289,sabzi,1.0
290,gurudwara,0.75
291,gandhi_cap,0.6666666667
292,spaghetti,0.5
293,nectar,0.6666666667
294,bandhavgarh,0.625
295,chipko_movement,0.8333333333
296,auction,0.6666666667
297,head_of_the_state,1.0
298,tetracyclin,0.2
299,greek_orthodox,0.5
300,thermonuclear_fusion,0.4
301,fusion_reaction,0.4
302,okakura_kakuzo,0.2222222222
303,guru_tegh_bahadur,0.75
304,rohit,1.0
305,ymca,0.5
306,lamella,1.0
307,har_pal,0.6666666667
308,nitric,0.4
309,ashokan_pillar,0.6
310,whisker,0.0
311,deep_valley,0.3333333333
312,sir_muhammad_iqbal,0.52
313,muhammad_iqbal,0.52
314,nonus,1.0
315,self_esteem,1.0
316,bhadu,1.0
317,school_fee,0.5
318,yeah,0.03125
319,pepper,0.6666666667
320,green_plant,1.0
321,maya,1.0
322,karnatak,0.6666666667
323,dweller,0.3181818182
324,gang,0.6666666667
325,buddhist_text,1.0
326,agronom,1.0
327,dara,1.0
328,thiruvananthapuram,0.4
329,peru,0.6363636364
330,rebound,1.0
331,n_b,0.0
332,cold_compress,1.0
333,dono,1.0
334,cosmopolitan,0.3333333333
335,meteor_shower,1.0
336,lift_pump,0.0
337,cervix,0.5
338,santa_clara_valley,0.25
339,mole,1.0
340,utopia,1.0
341,london_labour_and_the_london_poor,0.3333333333
342,ngu,1.0
343,partner,1.0
344,amelia_bloomer,0.4545454545
345,methanol,0.5
346,ill_treatment,0.4
347,leucoplast,0.3333333333
348,trick,0.2307692308
349,sub_inspector,0.8333333333
350,tanti,0.6
351,ten_thousand,1.0
352,mulk,0.625
353,haldia,0.0
354,homeland,0.2272727273
355,kankar,1.0
356,oct,0.4
357,ox_bow_lake,0.5
358,oru,0.0
359,matam,0.5
360,baba_farid,0.3333333333
361,croquet,0.6666666667
362,fisherwoman,1.0
363,pure_gold,0.0
364,northern_africa,0.5
365,belli,0.1428571429
366,h__c,1.0
367,upsid,0.75
368,migrant_labour,0.8
369,somnath,0.6666666667
370,sea_wave,0.6666666667
371,union_list,1.0
372,stepp,0.1428571429
373,nambuthiri,0.6
374,harmandar_sahib,0.6
375,aranea,1.0
376,logo,1.0
377,chadwick,0.3888888889
378,pintail_duck,1.0
379,nigeria,0.8333333333
380,array,1.0
381,lava,0.0
382,viramgam,0.0
383,headlight,0.3333333333
384,soak,1.0
385,whoop,0.0
386,set_up,0.3333333333
387,nuclear_weapon,0.5
388,fashion_week,1.0
389,demo,0.5
390,gin_mill,0.8
391,new_earswick,0.25
392,interact,0.3333333333
393,owner,0.5
394,weep,0.0
395,bringa,1.0
396,gangaikondacholapuram,0.6666666667
397,health_check,1.0
398,uphold,1.0
399,st_petersburg,0.3333333333
400,rajanikanta,0.1111111111
401,bardoloi,0.4285714286
402,kalhana,1.0
403,entertain,1.0
404,rishi,0.5
405,nayar,0.6
406,ladyland,1.0
407,common_carp,0.4
408,hoe,1.0
409,smash,0.2
410,houseboat,0.6666666667
411,shoulder_bone,0.0
412,bhagwan,1.0
413,w_w,1.0
414,cut_off,0.5
415,lactic_acid,0.5
416,khabar,1.0
417,eka–boron,0.5
418,indian_fijian,0.75
419,jabalpur,0.0
420,hodson,0.0
421,flaki,1.0
422,chakravartin,0.875
423,labour_cost,0.6666666667
424,thyroxin,0.0
425,virji_vora,0.6666666667
426,long_live_the_revolution,0.2
427,promis,0.875
428,cure,0.0
429,militaris,1.0
430,idol_worship,0.5
431,pyjama,0.6666666667
432,hoa_hao,1.0
433,manka,0.75
434,saurashtra,0.3333333333
435,lauki,0.4761904762
436,night_sky,1.0
437,central_highland,0.0
438,fallopian_tube,0.0
439,british_parliament,0.8
440,leg_kick,1.0
441,ocean_crust,1.0
442,chromatin,0.0
443,rk_laxman,0.2857142857
444,urchin,0.0
445,owl,0.3333333333
446,kitab,1.0
447,madhuca_indica,0.5
448,corn_law,0.8
449,west_java,0.0
450,field_event,0.3333333333
451,vithal,0.6
452,heroor,0.0
453,barb_wire,0.3333333333
454,super,0.3125
455,zilla_parishad,1.0
456,hugh,0.5714285714
457,gandhi_jayanti,1.0
458,wavi,0.8
459,north_east_india,1.0
460,mirabeau,0.4444444444
461,orthodox_jew,1.0
462,handkerchief,1.0
463,sekar,1.0
464,alpha_1,0.0
465,rajasthani,0.5
466,mewar,0.75
467,girangaon,0.6666666667
468,diamond_sutra,1.0
469,imperialist,1.0
470,jane_fonda,0.4
471,placer_deposit,1.0
472,cossa,0.0
473,nd,0.8
474,nkvd,0.8888888889
475,barbet,0.5
476,thulasi,1.0
477,prinsep,0.3
478,low_hill,1.0
479,carpel,0.25
480,peepal_tree,0.7647058824
481,harichandra,1.0
482,biological,0.0
483,aluminium_wire,0.0
484,mar,0.6666666667
485,berth,0.0
486,tibeto_burman,1.0
487,pistol,0.0
488,pehl,0.0
489,paik,0.2
490,no_1,1.0
491,venezuela,0.75
492,long_tail,1.0
493,water_day,0.7777777778
494,ascar,0.25
495,white_hall,0.2
496,flamingo,0.0
497,fossil_fuel,1.0
498,televisor,1.0
499,diphtheria,0.0
500,wind_vane,1.0
501,convict,1.0
502,kurnool,0.25
503,vivian,0.0
504,purs,0.0
505,ulva,0.4285714286
506,targeted,0.0
507,burr,0.5
508,still,1.0
509,kaokoland,0.5
510,keshav,0.3333333333
511,idealis,1.0
512,aur_hum,0.8
513,flemish_region,0.4
514,earth_day,0.7142857143
515,seacoast,0.2857142857
516,upthrust,0.5
517,murshid_quli_khan,0.3333333333
518,kirt,1.0
519,karna,1.0
520,dire,0.5
521,poverty,1.0
522,aparigraha,1.0
523,shiwalik,0.6666666667
524,leopard,0.8125
525,social_order,0.5
526,coal_mine,0.0
527,polyatom,0.0
528,great_wall,1.0
529,prick,1.0
530,prussia,0.6
531,spinach,0.0
532,soap_water,0.6
533,bundelkhandi,0.6
534,sound_board,0.5
535,militia,0.75
536,yatra,1.0
537,fiji,0.8
538,right_circular_cone,0.0
539,nammalvar,0.2
540,cauveri,0.6
541,lobbyist,0.75
542,prayaga,0.2857142857
543,sciatica,0.0
544,pollen_grain,0.6
545,consist,0.0
546,sahyadri,0.8888888889
547,cruikshank,0.2666666667
548,dhyana,0.5
549,nepenthes,0.0
550,pranab,1.0
551,ent_surgeon,1.0
552,surgeon,0.0
553,primogenitur,1.0
554,flick,1.0
555,alon,0.4
556,open_championship,0.1666666667
557,west_irian,1.0
558,reign_of_terror,1.0
559,golla,1.0
560,thatch_roof,0.5714285714
561,safe_place,0.1666666667
562,st_jacob,0.8
563,blood_vessel,0.0
564,oil_cake,0.5
565,shisham,0.6
566,water_pipe,0.6666666667
567,bluegreen_alga,0.5
568,meen,0.5
569,canker,1.0
570,saturday,1.0
571,western_art,1.0
572,pill,1.0
573,newcom,0.0
574,voters’_list,1.0
575,chahta,0.875
576,soft_iron,0.75
577,doctors,1.0
578,absente,0.0
579,sirajuddaulah,0.6666666667
580,hajo,0.0
581,rasa_lila,0.9
582,cold_weather,1.0
583,bewar,0.0
584,world_food_day,0.8333333333
585,swarajya,1.0
586,punjabi,0.7777777778
587,british_queen,0.3333333333
588,scout,0.75
589,sabarmati_river,0.3333333333
590,obes,0.3333333333
591,martin_luther_king_jr,0.4074074074
592,robben_island,0.8
593,french_indo_china,0.6666666667
594,half_chord,0.0
595,legal_framework_order,1.0
596,nawab_of_bengal,1.0
597,bio_mass,0.3333333333
598,nuclear_power_reactor,0.125
599,station_master,0.0
600,refuge,1.0
601,hunter_gather,0.6666666667
602,gdp,1.0
603,grammar,1.0
604,class_mark,0.0
605,macedonia,0.75
606,season_5,1.0
607,black_ant,1.0
608,silver_fox,0.6666666667
609,s_land,0.125
610,jamun,1.0
611,vaishya,0.8
612,2d,1.0
613,tarnish,0.75
614,chauri_chaura,0.75
615,fatwa,1.0
616,vandemataram,1.0
617,beaker,0.0
618,prithviraj_chauhan,0.7777777778
619,monday,1.0
620,alluri_sitarama_raju,1.0
621,sir_john_simon,0.28125
622,shear,0.5
623,jagirdari,1.0
624,compact,0.25
625,boycott,1.0
626,argument,1.0
627,greenish_blue,0.0
628,peda,0.6666666667
629,sound_wave,0.75
630,hand_rule,1.0
631,commit,0.5
632,bandag,0.1
633,sprinkler,1.0
634,wolf,0.75
635,rishra,0.0
636,lenin_shipyard,0.0
637,geo,0.3333333333
638,sultan_suleyman,0.5555555556
639,aerial_survey,0.6666666667
640,chandala,0.5714285714
641,nkrumah,0.3548387097
642,ahar,0.3333333333
643,malayalam,1.0
644,forest_floor,0.6666666667
645,samachar,0.0
646,chandrika,1.0
647,gana_sangha,1.0
648,wed,1.0
649,poach,1.0
650,pheasant,0.0
651,contus,0.5
652,mami,1.0
653,mamandur,1.0
654,glycerin,0.5
655,nankana_sahib,0.6666666667
656,kharagpur,0.0
657,bardoli,0.0
658,humayun,0.6666666667
659,decibel,0.0
660,boz,1.0
661,triangular,0.0
662,papua_new_guinea,0.6666666667
663,tidal_stretch,1.0
664,river_neva,0.4
665,placenta,0.3333333333
666,eras,0.0
667,stomach_ulcer,0.3333333333
668,drum_beat,0.0
669,circuit_breaker,0.25
670,addict,0.6666666667
671,udagamandalam,0.25
672,night_time,1.0
673,tang,1.0
674,back_bay,0.4
675,marijuana,0.4444444444
676,abdomen,0.3333333333
677,homestead,1.0
678,carlo,0.55
679,churn,0.0
680,west_virginia,0.5
681,glandular_epithelium,0.0
682,racism,0.6666666667
683,black_buck,0.4
684,kirgiz,0.5555555556
685,kais,0.5
686,dutta,1.0
687,ulothrix,0.0
688,pir,0.2857142857
689,power_ship,0.0
690,begum_of_bhopal,1.0
691,tread,0.0
692,bind,0.875
693,run_water,0.0
694,earth_s_crust,1.0
695,abul_kalam_azad,0.7894736842
696,tuesday,1.0
697,from_the_sea,0.0
698,harding,0.2
699,curtain,1.0
700,outreach,1.0
701,moran,0.4
702,brood_pouch,0.0
703,chickenpox,0.2
704,scooter,0.1666666667
705,lal_mahal,0.6666666667
706,cowpea,0.6666666667
707,labour_movement,1.0
708,cock,0.6666666667
709,hatta,0.4166666667
710,arena,0.5
711,poil,0.0
712,sengupta,0.1666666667
713,dhak,0.5
714,white_eye,0.0
715,buck,0.0
716,maximum_retail_price,1.0
717,sangai,0.5
718,dada,1.0
719,ecotour,1.0
720,pepsin,0.0
721,hot_water,0.3333333333
722,water_spring,0.8571428571
723,other_backward_class,1.0
724,datura,0.8333333333
725,mini,0.5555555556
726,mediterranean_region,0.5333333333
727,coal_miner,0.0
728,sesamum,0.0
729,ajith,0.1111111111
730,ninan,1.0
731,scyth,0.8571428571
732,cabinet_mission,1.0
733,turani,0.5
734,gharana,1.0
735,low_carbon,0.6666666667
736,sunspot,0.0
737,mast,0.0
738,bore_well,1.0
739,ghaghara,1.0
740,chickpea,0.5
741,insat,1.0
742,watr,0.25
743,kashipur,0.0
744,gods,1.0
745,jackal,0.6666666667
746,kesari,0.2
747,fish_farm,1.0
748,bandhara,0.6666666667
749,jet_plane,0.0
750,pod,0.5
751,hoga,1.0
752,rope,0.5
753,dark_night,0.5
754,void_deck,1.0
755,salal,0.8333333333
756,sial,0.5
757,khambat,0.5
758,goebbel,0.5135135135
759,samata,1.0
760,masol,0.7272727273
761,mous,1.0
762,extent,1.0
763,mui,0.1666666667
764,timur,0.7
765,plutonium,0.2857142857
766,low_wage,0.0
767,vitamin_k,0.0
768,h_s,0.5
769,gibson,0.3333333333
770,cross_cut,0.6666666667
771,aceton,0.4285714286
772,purana_qila,1.0
773,seed_leaf,0.75
774,stopwatch,0.0
775,champaran,1.0
776,up_boy,0.1666666667
777,charan_raj,0.25
778,ibf,0.0
779,coca_cola,0.375
780,sant_kabir,0.6
781,djinn,0.75
782,fair_trial,1.0
783,greek_god,1.0
784,madhuca,0.0
785,attock,0.0
786,seismograph,0.4
787,netherland,1.0
788,yadu,0.5
789,ghazzali,1.0
790,medal,0.3333333333
791,imprison,1.0
792,market_survey,1.0
793,extra_curricular,1.0
794,seep,0.7142857143
795,three_point,0.75
796,vinegar,0.6666666667
797,leech,0.0
798,khandesh,0.0
799,collagen,0.4285714286
800,mawsynram,0.5
801,world_map,1.0
802,baran_district,0.3333333333
803,ballabhgarh,0.5
804,cul_de_sac,0.5
805,gramdan,0.8571428571
806,limpopo,0.0
807,amphetamin,0.4615384615
808,andrea,0.75
809,rebmann,0.4285714286
810,safranin,0.1428571429
811,premier,0.0
812,tendon,0.0
813,regret,1.0
814,terror,1.0
815,scream,0.1538461538
816,myopic,0.25
817,mitochondrion,0.6666666667
818,bohemia,0.8
819,pac,0.75
820,pantulu,0.5
821,fair_play,0.2727272727
822,hopeless,0.0
823,kandla,0.6666666667
824,burqa,0.2222222222
825,napoleon_bonapart,0.6296296296
826,micro_nutrient,1.0
827,surat,0.1428571429
828,kadi,1.0
829,jnaneshwar,0.4545454545
830,control_knob,1.0
831,puran,1.0
832,ganga_river,0.6428571429
833,british_council,0.4444444444
834,indi,0.6666666667
835,g_c,0.25
836,barn,1.0
837,alag,1.0
838,academi,0.5333333333
839,jug,1.0
840,irishman,1.0
841,reichstag,0.6
842,victorian_britain,1.0
843,hunsgi,0.0
844,reindeer,0.6666666667
845,phase,0.0
846,marker,1.0
847,mithankot,0.0
848,hurri,0.6666666667
849,kinet,0.0769230769
850,pseudopod,0.3333333333
851,knee_pain,0.0
852,nter,0.0
853,ionic,0.6666666667
854,strang,0.3333333333
855,tarik,0.0
856,deep_lake,0.5
857,pyre,1.0
858,abul_fazl,0.6363636364
859,nuclear_power,0.2
860,kanpur,0.0
861,madgaon,0.0
862,ranthambhor,0.5
863,scale_factor,1.0
864,vishvamitra,0.5
865,bed_sheet,0.6666666667
866,kudremukh,0.5
867,food_colour,1.0
868,red_planet,0.4615384615
869,hand_span,0.6666666667
870,checker,0.25
871,short_hand,1.0
872,thermo,0.0
873,col,1.0
874,polar_region,1.0
875,shudra,1.0
876,upset,1.0
877,honour,0.5
878,local_wind,0.0
879,dutt,0.3333333333
880,annex,1.0
881,concord,0.3333333333
882,beater,0.25
883,hockey_field,0.6
884,yama,0.8333333333
885,vitamin_b3,0.25
886,imli,0.6666666667
887,queen_ant,0.6666666667
888,turk,0.5
889,cinema_poster,1.0
890,fermat,0.4545454545
891,guru_nanak_s_birthday,1.0
892,qandahar,0.1428571429
893,bakhshi,1.0
894,thiru__vi__ka,0.4444444444
895,toss_a_coin,0.75
896,recip,0.0
897,raju,0.7142857143
898,sweep,0.25
