,Word,Parts
339,barberry,
340,barbette,
341,barbola,
342,barcarole,
343,bardeen,
344,barfly,bar-fly
345,bargeman,barge-man
346,barman,bar-man
347,barn,
348,barracoon,
349,barramunda,
350,barras,
351,barred,bar=ed
352,barrera,
353,barretor,
354,barretter,
355,barring,bar=ing
356,barthian,
357,baseman,base-man
358,Bashan,
359,bashkir,
360,basilary,
361,basilic,
362,basion,
363,bass,
364,basses,bass=es
365,basswood,basse-wood
366,bastion,
367,bateau,
368,bateaux,
369,bathsheba,
370,batsman,bats-man
371,battuta,
372,bawdyhouse,bawdy-house
373,bayern,
374,Bayes,
375,bayman,bay-man
376,beadsman,beads-man
377,bean,
378,beaufort,
379,beaumont,
380,beauregard,
381,beautiful,beauty=ful
382,beckford,
383,bedeman,bede-man
384,bedesman,beads-man
385,bedwetting,bed-wetting
386,Beecham,
387,beer,
388,beersheba,
389,belize,
390,bellicosity,bellicose=ity
391,bellman,bell-man
392,beltman,belt-man
393,belying,belie=ing
394,benedick,
395,benedictine,
396,benediction,
397,benefactor,
398,beneficence,
399,beneficent,
400,benefit,
401,benelux,
402,benes,
403,benghazi,
404,bentonite,
405,benzal,
406,benzine,
407,bequeathed,bequeath=ed
408,berate,
409,beres,
410,berkshire,bark=shire
411,berley,
412,bernard,
413,bernbach,
414,bessarabia,
415,bestial,
416,bethink,
417,betise,
418,betony,
419,beyrouth,
420,bhutan,
421,bialy,
422,bias,
423,biauriculate,bi=auriculate
424,bicarb,
425,bicarb,bi=carb
426,bicentenary,bi=centenary
427,Bicol,
428,bicyclic,
429,bicyclic,bi=cyclic
430,Biden,
431,bidi,
432,biding,bide=ing
433,bien,
434,biennial,
435,bifid,
436,Bifrost,
437,bifurcate,
438,bifurcation,
439,biga,
440,bigamist,
441,bijugate,
442,biking,bike=ing
443,Biko,
444,bilander,
445,billeter,billet=er
446,billion,
447,billman,bill-man
448,Bimini,
449,binary,
450,Bingen,
451,bioassay,
452,biology,
453,biolysis,
454,bios,
455,biosciences,bioscience=s
456,biosis,
457,biota,
458,biotic,
459,birddog,bird-dog
460,birdied,birdie=ed
461,bisect,
462,bisector,bisect=or
463,bitesize,bite-size
464,biting,bite=ing
465,bitingly,biting=ly
466,bitten,
467,bitterender,bitter-ender
468,bitterness,bitter-ness
469,bitterroot,bitter-root
470,biznaga,
471,blanches,blanch=es
472,bloodmobile,blood-mobile
473,bloomsbury,
474,blotchy,blotch=y
475,blousy,
476,bluer,blue=er
477,bluesy,blues=y
478,blurry,blur=y
479,boardman,board-man
480,boatman,boat-man
481,boatsman,boats-man
482,boattail,boat-tail
483,bobbling,bobble=ing
484,bobbysoxer,bobbysocks=er
485,bodyguard,body-guard
486,boer,
487,bogeymen,bogey-men
488,bogor,
489,bollard,
490,bondman,bond-man
491,bondsman,bonds-man
492,bonism,
493,bonzer,
494,bookman,book-man
495,boondoggling,boondoggle=ing
496,boottopping,boot-topping
497,boracite,
498,boral,
499,borden,
500,border,
501,born,
502,bornholm,
503,boscage,
504,bothwell,
505,bottommost,bottom-most
506,bouchee,
507,boundary,
508,bountiful,bounty=ful
509,bousy,
510,bowditch,
511,Bowen,
512,bowman,bow-man
513,bowsed,bowse=ed
514,bowser,
515,bowsing,bowse=ing
516,boycott,
517,bracelet,
518,bracknell,
519,bradbury,
520,Brahman,
521,brakeman,brake-man
522,brakesman,brakes-man
523,brasilia,
524,brassage,
525,brawly,braw=ly
526,brawn,
527,Brendan,
528,brescian,
529,brigalow,
530,brigand,
531,brigandine,
532,brilliantine,
533,brinkman,brink-man
534,brittler,brittle=er
535,brittlest,brittle=est
536,brocken,
537,bromal,
538,brown,
539,brucine,
540,brutal,
541,bryony,
542,buckling,buckle=ing
543,buckram,
544,buhrstone,
545,bullary,
