,segWords,Freq
431,Facebook,37
432,fourth,37
433,investors,37
434,ms,37
435,nyti,37
436,procedures,37
437,reaches,37
438,surgical,37
439,travelling,37
440,committee,36
441,halt,36
442,jumps,36
443,Keqiang,36
444,rate,36
445,So,36
446,Stocks,36
447,urged,36
448,bats,35
449,biggest,35
450,combat,35
451,If,35
452,living,35
453,month,35
454,podcast,35
455,reconsider,35
456,risks,35
457,scientists,35
458,sky,35
459,travellers,35
460,trial,35
461,anger,34
462,bid,34
463,Disney,34
464,Disneyland,34
465,facing,34
466,From,34
467,HIV,34
468,identifies,34
469,Listen,34
470,meet,34
471,meeting,34
472,negative,34
473,screenings,34
474,sell,34
475,stepped,34
476,stopped,34
477,stories,34
478,trains,34
479,Britain,33
480,demand,33
481,drug,33
482,expanded,33
483,hard,33
484,Hospital,33
485,mayor,33
486,plans,33
487,potential,33
488,ready,33
489,rein,33
490,Saudi,33
491,suspends,33
492,ve,33
493,affect,32
494,cbc,32
495,December,32
496,Dr,32
497,game,32
498,grave,32
499,industry,32
500,infects,32
501,investigation,32
502,outbreaks,32
503,preparedness,32
504,threatens,32
505,weekend,32
506,appears,31
507,cough,31
508,declaring,31
509,family,31
510,personnel,31
511,schools,31
512,Scientists,31
513,start,31
514,trapped,31
515,universities,31
516,Amid,30
517,Apple,30
518,arriving,30
519,Central,30
520,Check,30
521,conference,30
522,fell,30
523,globally,30
524,increasing,30
525,president,30
526,prices,30
527,questions,30
528,studies,30
529,team,30
530,Tell,30
531,trading,30
532,wearing,30
533,advice,29
534,Australian,29
535,calls,29
536,chinese,29
537,closing,29
538,contracted,29
539,dedicated,29
540,hits,29
541,makeshift,29
542,months,29
543,Our,29
544,People,29
545,planning,29
546,Should,29
547,shuts,29
548,worst,29
549,AbbVie,28
550,app,28
551,cope,28
552,cover,28
553,dangerous,28
554,explains,28
555,Feb,28
556,fly,28
557,food,28
558,foreign,28
559,half,28
560,hands,28
561,isolate,28
562,Japanese,28
563,monitoring,28
564,NDTVNewsBeeps,28
565,offers,28
566,office,28
567,oil,28
568,prepared,28
569,rapidly,28
570,robot,28
571,role,28
572,screened,28
573,shutting,28
574,social,28
575,stands,28
576,Starbucks,28
577,stores,28
578,system,28
579,victims,28
580,wsj,28
581,border,27
582,children,27
583,die,27
584,ground,27
585,He,27
586,life,27
587,locks,27
588,reviews,27
589,Scotland,27
590,statement,27
591,streets,27
592,To,27
593,UN,27
594,consulate,26
595,contagion,26
596,contagious,26
597,dies,26
598,edition,26
599,European,26
600,French,26
601,lunar,26
602,M,26
603,reach,26
604,regions,26
605,school,26
606,Seattle,26
607,send,26
608,sparked,26
609,tLnnh,26
610,WhatPresidentXiSays,26
611,air,25
612,borders,25
613,capital,25
614,celebrations,25
615,County,25
616,Cross,25
617,fear,25
618,flying,25
619,ft,25
620,FT,25
621,Huanggang,25
622,International,25
623,leadership,25
624,link,25
625,mutating,25
626,Number,25
627,reached,25
628,scrambles,25
629,seals,25
630,traveller,25
631,vaccine,25
632,Vietnam,25
633,ward,25
634,ABC,24
635,bit,24
636,body,24
637,construction,24
638,continue,24
639,cousin,24
640,decoded,24
641,families,24
642,grows,24
643,issue,24
644,leader,24
645,Leo,24
646,local,24
647,No,24
648,nose,24
649,ongoing,24
650,plane,24
651,Poon,24
652,precautions,24
653,Scientist,24
654,short,24
655,suspended,24
656,type,24
657,virulent,24
658,Virus,24
659,wapo,24
660,watching,24
661,Will,24
662,Arabia,23
663,authority,23
664,based,23
665,briefing,23
666,emerged,23
667,Get,23
668,handling,23
669,increase,23
670,indian,23
671,indoors,23
672,KayBurley,23
673,Kerala,23
674,ministry,23
675,secretary,23
676,sparking,23
677,stations,23
678,That,23
679,tourist,23
680,University,23
681,announcement,22
682,Are,22
683,attractions,22
684,begun,22
685,beijing,22
686,business,22
687,canceled,22
688,communication,22
689,condition,22
690,conditions,22
691,Cook,22
692,critical,22
693,deserted,22
694,Everything,22
695,growth,22
696,Headlines,22
697,Heathrow,22
698,Indians,22
699,iPhone,22
700,Jones,22
701,kerala,22
702,lessons,22
703,limit,22
704,materials,22
705,Nanshan,22
706,nation,22
707,NEW,22
708,nonessential,22
709,Olympic,22
710,passes,22
711,protective,22
712,quarantined,22
713,scale,22
714,sends,22
